src_style,tgt_style,src_image,weave_dino_s_full,idt_dino_s_full,margin_full
Early_Renaissance,Impressionism,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2.jpg,0.5841451,0.47189945,0.11224568
Early_Renaissance,Minimalism,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2.jpg,0.31247497,0.11920515,0.19326982
Early_Renaissance,Rococo,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2.jpg,0.51190704,0.49260178,0.019305259
Early_Renaissance,Ukiyo_e,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2.jpg,0.6176653,0.58348125,0.03418404
Early_Renaissance,Impressionism,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule.jpg,0.60583097,0.656709,-0.050878048
Early_Renaissance,Minimalism,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule.jpg,0.31797767,0.29750562,0.02047205
Early_Renaissance,Rococo,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule.jpg,0.56710875,0.66916573,-0.10205698
Early_Renaissance,Ukiyo_e,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule.jpg,0.62754714,0.6387829,-0.011235774
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece.jpg,0.5641737,0.48037133,0.08380237
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece.jpg,0.47933763,0.14415829,0.33517933
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece.jpg,0.6867048,0.6343653,0.052339494
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece.jpg,0.5157745,0.45938367,0.056390822
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1.jpg,0.5489543,0.4373082,0.111646116
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1.jpg,0.226361,0.16018651,0.06617449
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1.jpg,0.63126916,0.4850552,0.14621395
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1.jpg,0.61665154,0.5909093,0.025742233
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440.jpg,0.60801387,0.5813845,0.026629388
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440.jpg,0.3461114,0.18887012,0.15724127
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440.jpg,0.6900816,0.6680951,0.021986485
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440.jpg,0.53137314,0.49787724,0.033495903
Early_Renaissance,Impressionism,Early_Renaissance__giovanni-bellini_virgin-and-child-1488.jpg,0.54329234,0.4827912,0.06050116
Early_Renaissance,Minimalism,Early_Renaissance__giovanni-bellini_virgin-and-child-1488.jpg,0.20769097,0.18540916,0.02228181
Early_Renaissance,Rococo,Early_Renaissance__giovanni-bellini_virgin-and-child-1488.jpg,0.59402657,0.6070611,-0.0130345225
Early_Renaissance,Ukiyo_e,Early_Renaissance__giovanni-bellini_virgin-and-child-1488.jpg,0.4922865,0.4489188,0.043367714
Early_Renaissance,Impressionism,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1).jpg,0.44949675,0.41615158,0.033345163
Early_Renaissance,Minimalism,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1).jpg,0.24397835,0.14572169,0.09825666
Early_Renaissance,Rococo,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1).jpg,0.49698097,0.52352715,-0.02654618
Early_Renaissance,Ukiyo_e,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1).jpg,0.47140568,0.4501862,0.021219492
Early_Renaissance,Impressionism,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking.jpg,0.3402167,0.28784496,0.05237174
Early_Renaissance,Minimalism,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking.jpg,0.301122,0.18682328,0.11429873
Early_Renaissance,Rococo,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking.jpg,0.34213072,0.30243832,0.039692402
Early_Renaissance,Ukiyo_e,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking.jpg,0.30854222,0.2845755,0.02396673
Early_Renaissance,Impressionism,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile.jpg,0.32043186,0.363963,-0.04353115
Early_Renaissance,Minimalism,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile.jpg,0.4258324,0.3895757,0.0362567
Early_Renaissance,Rococo,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile.jpg,0.34308612,0.4060877,-0.06300157
Early_Renaissance,Ukiyo_e,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile.jpg,0.5087091,0.51572764,-0.007018566
Early_Renaissance,Impressionism,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,0.55506635,0.59547466,-0.040408313
Early_Renaissance,Minimalism,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,0.36044556,0.18446246,0.1759831
Early_Renaissance,Rococo,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,0.5918037,0.65901387,-0.06721014
Early_Renaissance,Ukiyo_e,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,0.5409143,0.5179633,0.022951007
Early_Renaissance,Impressionism,Early_Renaissance__piero-della-francesca_portrait-of-a-boy.jpg,0.54955816,0.4013703,0.14818788
Early_Renaissance,Minimalism,Early_Renaissance__piero-della-francesca_portrait-of-a-boy.jpg,0.24784583,0.09973289,0.14811294
Early_Renaissance,Rococo,Early_Renaissance__piero-della-francesca_portrait-of-a-boy.jpg,0.6093703,0.593366,0.016004264
Early_Renaissance,Ukiyo_e,Early_Renaissance__piero-della-francesca_portrait-of-a-boy.jpg,0.49449182,0.40586168,0.08863014
Early_Renaissance,Impressionism,Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,0.6239575,0.5907861,0.033171415
Early_Renaissance,Minimalism,Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,0.31264287,0.19876045,0.11388242
Early_Renaissance,Rococo,Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,0.56283176,0.6358155,-0.07298374
Early_Renaissance,Ukiyo_e,Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,0.58421403,0.58464026,-0.00042623281
Early_Renaissance,Impressionism,Early_Renaissance__pisanello_stork-1430.jpg,0.19151239,0.19264974,-0.001137346
Early_Renaissance,Minimalism,Early_Renaissance__pisanello_stork-1430.jpg,0.12958078,0.11692909,0.012651689
Early_Renaissance,Rococo,Early_Renaissance__pisanello_stork-1430.jpg,0.16684224,0.16944487,-0.0026026368
Early_Renaissance,Ukiyo_e,Early_Renaissance__pisanello_stork-1430.jpg,0.21360132,0.19226164,0.021339685
Early_Renaissance,Impressionism,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1).jpg,0.54745305,0.5365865,0.010866523
Early_Renaissance,Minimalism,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1).jpg,0.38757503,0.16400611,0.22356892
Early_Renaissance,Rococo,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1).jpg,0.4104557,0.5792631,-0.16880739
Early_Renaissance,Ukiyo_e,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1).jpg,0.6261844,0.63068545,-0.0045010448
Early_Renaissance,Impressionism,Early_Renaissance__sandro-botticelli_trinity(1).jpg,0.71490043,0.63416004,0.08074039
Early_Renaissance,Minimalism,Early_Renaissance__sandro-botticelli_trinity(1).jpg,0.3345775,0.2056453,0.12893221
Early_Renaissance,Rococo,Early_Renaissance__sandro-botticelli_trinity(1).jpg,0.76868314,0.7802461,-0.011562943
Early_Renaissance,Ukiyo_e,Early_Renaissance__sandro-botticelli_trinity(1).jpg,0.6409373,0.5742338,0.06670356
Impressionism,Early_Renaissance,Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg,0.47003877,0.39032787,0.0797109
Impressionism,Minimalism,Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg,0.39575827,0.18765908,0.20809919
Impressionism,Rococo,Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg,0.52379423,0.5058803,0.017913938
Impressionism,Ukiyo_e,Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg,0.564471,0.5815829,-0.017111897
Impressionism,Early_Renaissance,Impressionism__alfred-sisley_the-banks-of-the-oise-1878.jpg,0.34863234,0.30923086,0.03940147
Impressionism,Minimalism,Impressionism__alfred-sisley_the-banks-of-the-oise-1878.jpg,0.22168964,0.15384856,0.06784108
Impressionism,Rococo,Impressionism__alfred-sisley_the-banks-of-the-oise-1878.jpg,0.5324789,0.5511031,-0.018624187
Impressionism,Ukiyo_e,Impressionism__alfred-sisley_the-banks-of-the-oise-1878.jpg,0.6058663,0.5196077,0.08625859
Impressionism,Early_Renaissance,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver.jpg,0.32198066,0.31895873,0.0030219257
Impressionism,Minimalism,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver.jpg,0.14843269,0.11590405,0.03252864
Impressionism,Rococo,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver.jpg,0.4008481,0.38133007,0.019518018
Impressionism,Ukiyo_e,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver.jpg,0.30133486,0.3018086,-0.00047373772
Impressionism,Early_Renaissance,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890.jpg,0.45022053,0.394707,0.05551353
Impressionism,Minimalism,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890.jpg,0.34574848,0.16440475,0.18134373
Impressionism,Rococo,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890.jpg,0.43695888,0.37930998,0.057648897
