probe_family,left_variant,right_variant,forward_same_target_mean_abs
topology_pair,gate0_blend0,gate0_blend1,0.0
topology_pair,gate1_blend0,gate1_blend05,0.018685631453990936
topology_pair,gate1_blend0,gate1_blend1,0.02928299456834793
topology_pair,gate0_blend1,gate1_blend1,0.02928299456834793
