epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,delta_tv,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.191841781780284,0.26829096066054475,0.02006395657857259,0.4068435340799311,0.8772459132696993,0.0,0.0,0.0,0.020881234958607664,0.6264371154128864,0.05305654771866337,0.18084355836273522,0.14235708790440713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00015,100.55979323387146
2,0.6895601826329385,0.5132377378402218,0.014936247179585119,0.494450435843519,1.6000748501029065,0.0,0.0,0.0,0.006670201978375835,0.20010609780588456,0.008962694675691666,0.16804051142866894,0.38527613814159106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001499960247789996,94.38738870620728
3,0.5765264777727025,0.5214014360981603,0.011331477472859045,0.6147883015294229,1.6536333637852823,0.0,0.0,0.0,0.004845312205694055,0.14535934694351688,0.005265664349320114,0.1468928962625483,0.4892631448725218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014998409955192628,94.38060307502747
4,0.5071676931073589,0.5127268555343792,0.01074152095343477,0.7903843541299144,1.7118382607736895,0.0,0.0,0.0,0.004069773420210808,0.12209323144728138,0.004509633907707789,0.1208065402123236,0.5536068741993238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001499642256265155,94.44115042686462
5,0.4510496816327495,0.503866462297337,0.010485326731076805,0.9876083045877436,1.8814470844884073,0.0,0.0,0.0,0.003715384711501419,0.11146153685867145,0.00405396056431596,0.09339848385062269,0.6260159400201613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001499364051821672,94.41170763969421
6,0.4022824277159988,0.4998743200814852,0.010694512756921912,1.1885740218623992,2.1281620148689515,0.0,0.0,0.0,0.0034439579773974673,0.10331870663550592,0.00378689201929236,0.066330381619033,0.6896651893533686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014990064126970656,94.36047101020813
7,0.3590752386277722,0.49835762926327287,0.011193329288113502,1.3935039889427923,2.410557572559644,0.0,0.0,0.0,0.0032716999130864297,0.09815105315177672,0.003619605815538796,0.039339178351945774,0.7316938830960181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014985693781104965,94.38329815864563
8,0.3158580615956296,0.49757738010857694,0.01103504498799642,1.5860792590725807,2.6279200071929605,0.0,0.0,0.0,0.003146021596847042,0.09438064534177062,0.0034831288040325205,0.01389929171531431,0.7643975698819725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014980529959877315,94.41954898834229
9,0.2921305215486916,0.49647768082157256,0.01119605315628872,1.7024176812941028,2.937691637264785,0.0,0.0,0.0,0.003018940007814797,0.09056817331621723,0.0033591094837393813,0.0002592493409431109,0.7898573516517557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000149745732295589,94.38584852218628
10,0.2884109661143313,0.4967232160670783,0.01114155400183893,1.7136424074890793,3.119513398857527,0.0,0.0,0.0,0.0029151423643994077,0.08745429336383778,0.0033091861073688794,2.4534443954146038e-05,0.8178815123855426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00014967824243372323,94.37380242347717
