epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,13.597970247268677,0.0015788508026162162,0.24511481113731862,0.06889544408768415,0.17621936593204737,0.18106806613504886,1.134608221054077,0.0900524977594614,0.004870986938476563,0.7084999859333039,0.06007837462238967,0.1010498046875,0.1010498046875,0.0,0.0,0.03462828621268273,0.07657092697918415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0002,13.303856372833252
2,9.668593454360963,0.001325996546074748,0.1247442428022623,0.03157467497512698,0.09316956736147404,0.09657252952456474,0.767906728386879,0.06843691915273667,4.887580871582031e-06,0.6599999845027924,0.0448173719458282,0.0940673828125,0.0940673828125,0.0,0.0,0.03452367782592773,0.07509867288172245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0001997071467046472,10.691095113754272
3,8.143063950538636,0.0012912538571981714,0.06569186598062515,0.024317126348614694,0.04137473963201046,0.045689339004457,0.6395011156797409,0.04560995269566774,3.426074981689453e-05,0.8629999846220017,0.07399157844483853,0.0982421875,0.0982421875,0.0,0.15944746360182763,0.0335037587210536,0.07653824649751187,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,1.0,1.0,0.00019883039235653812,13.35282850265503
4,8.03274757862091,0.0016805173712782563,0.08114943094551563,0.03935223761945963,0.041797193326056005,0.05326492357999087,0.5871734753251076,0.04697097796015441,1.4662742614746094e-05,0.8154999852180481,0.09834261760115623,0.0955322265625,0.0955322265625,0.0,0.1955847941339016,0.03400832675397396,0.07865005657076836,0.0,0.0,0.0,1.3333333730697632,0.0,0.0,1.0,1.0,0.0001973751424377793,13.24878716468811
5,6.371130347251892,0.0032924519386142493,0.07873021885752678,0.04317610710859299,0.03555411137640476,0.04827211461961269,0.37781897112727164,0.022900697286240758,0.0,0.9224999755620956,0.2183886393904686,0.0943115234375,0.0943115234375,0.0,0.19367672502994537,0.03388314954936504,0.0782611146569252,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0001953503690480396,13.157518148422241
6,4.9328865766525265,0.008004593523219227,0.0644551595672965,0.041381439194083214,0.023073720373213293,0.045507725700736044,0.20530529469251632,0.008941413724096492,0.0,0.973999971151352,0.35049345046281816,0.0955810546875,0.0955810546875,0.0,0.16008203476667404,0.03385569173842669,0.07955309860408306,0.0,0.0,0.0,2.6666667461395264,0.0,0.0,1.0,1.0,0.00019276855558857225,13.1555495262146
7,4.147335386276245,0.010381992859765887,0.06727592088282108,0.04923125095665455,0.018044670298695564,0.0537398912012577,0.0954193945042789,0.0034907327137261744,0.0,0.9864999800920486,0.5405078932642937,0.096337890625,0.096337890625,0.0,0.15269948840141295,0.033465953357517716,0.07936884760856629,0.0,0.0,0.0,3.3333332538604736,0.0,0.0,1.0,1.0,0.00018964561979789495,12.977562427520752
8,4.528150010108948,0.012079364433884621,0.08313179537653922,0.055735894665122035,0.027395900897681714,0.06641422212123871,0.11228508865460754,0.009104744147043676,0.0,0.9609999895095825,0.5390646234154701,0.0947509765625,0.0947509765625,0.0,0.14456657618284224,0.03372094687074423,0.07983813732862473,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.00018600081561363877,13.315531730651855
9,3.9435379266738892,0.012885954370722175,0.07753556296229362,0.05624099057167768,0.02129457276314497,0.06458957307040691,0.05816055457107723,0.0021271607613016384,0.0,0.9909999936819076,0.6417446225881577,0.0887939453125,0.0887939453125,0.0,0.12751137055456638,0.03334989231079817,0.07848458252847194,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.00018185661446562003,13.596258640289307
10,3.671055781841278,0.010901453578844667,0.07685749195516109,0.05369006469845772,0.02316742781549692,0.0639564860612154,0.034655662579461934,0.0005268660686851944,0.0,0.9994999974966049,0.6667140752077103,0.0802978515625,0.0802978515625,0.0,0.10869438387453556,0.03356446623802185,0.08166167996823788,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.00017723856673200296,13.262324333190918
