epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,31.5145320892334,0.31320175528526306,0.23455588519573212,0.07752294093370438,0.20205076038837433,5.211726384364821e-05,0.6166352998116054,0.01125660032266751,72.01312950009014,9.544637399958447,0.3759195998427458,9.915074199903756,81.944943100214,92.48200130462646,10240,110.72424748109056,124.96195143459997
2,28.102127075195312,0.2518613338470459,0.19159962236881256,0.30894574522972107,0.20400388538837433,0.00010423452768729642,0.6029790001339279,0.010141699982341379,71.85417940001935,7.478484200022649,0.3362228000187315,9.868102099862881,79.67902810004307,90.15263223648071,10240,113.58514716618926,128.5156237993127
3,26.980167388916016,0.2342344969511032,0.17575211822986603,0.2831884026527405,0.20283202826976776,0.00015635179153094462,0.5908844997175038,0.009595500072464347,71.71018219995312,7.422644799924456,0.33069610001984984,9.831326399871614,79.4731185999699,89.89743900299072,10240,113.90758305872689,128.84859912876098
4,26.653541564941406,0.23134839534759521,0.1770353466272354,0.2758442759513855,0.20126952230930328,0.00020846905537459285,0.6234753998578526,0.010221000004094094,71.81636720011011,7.459822700067889,0.33232089987723157,9.855947299860418,79.61873180005932,90.10132908821106,10240,113.64982185750921,128.6129503508667
5,26.578189849853516,0.2340492606163025,0.1728236973285675,0.24342311918735504,0.20097656548023224,0.0002605863192182411,0.6657039998681284,0.010355900216381997,71.61185490008211,7.425805999955628,0.3424923002021387,9.904601799382363,79.39050910045626,89.96294236183167,10240,113.82464525020357,128.98267206024443
6,26.892812728881836,0.23847578465938568,0.1738777458667755,0.24922087788581848,0.19882811605930328,0.00031270358306188925,0.5879821999114938,0.009909500076901168,71.6966408000444,7.432282300083898,0.3611155000398867,9.861516899778508,79.49994810024509,89.95157074928284,10240,113.83903487957315,128.80511553401166
7,26.326709747314453,0.23180797696113586,0.17385683953762054,0.24802151322364807,0.19921875,0.0003648208469055375,0.5930063999257982,0.010651899792719632,72.36625069990987,7.5192144002066925,0.33357320009963587,9.976338699983899,80.22969020000892,90.80106472969055,10240,112.7740079974159,127.63354781094321
8,26.3481502532959,0.23286455869674683,0.17351917922496796,0.2376691997051239,0.19453123211860657,0.0004169381107491857,0.5995005998993292,0.011040300014428794,75.5731686000945,7.703291599988006,0.356604200147558,10.226205899496563,83.6441047002445,94.4715666770935,10240,108.39240165245285,122.42345155940282
9,26.159135818481445,0.23280000686645508,0.17048799991607666,0.23687835037708282,0.20742186903953552,0.00046905537459283387,0.5793862000573426,0.00997900019865483,72.02784910000628,7.428647699940484,0.35762290010461584,9.802854699606542,79.82409870025003,90.20880341529846,10240,113.51442001572326,128.28206226859564
10,26.578182220458984,0.2392784059047699,0.1727188229560852,0.22454538941383362,0.20058593153953552,0.0005,0.5739848999655806,0.00998040015110746,70.17095709999558,7.272290599998087,0.36466160020790994,9.649369099584874,77.81788970035268,88.04387068748474,10240,116.30565444296846,131.589279013224
11,26.323875427246094,0.23519524931907654,0.17452183365821838,0.22686946392059326,0.20185546576976776,0.0004985297675051295,0.6611785001005046,0.009933700261171907,70.0331708000158,7.278380299918354,0.34529120003571734,9.62778810004238,77.66677600023104,87.95845794677734,10240,116.41859394802154,131.84530795986097
12,26.24086570739746,0.23308104276657104,0.17044609785079956,0.22016017138957977,0.2011718899011612,0.0004969084990471573,0.6015038001351058,0.010490300075616688,77.62914840003941,8.022234399977606,0.3664330999017693,10.713608800026122,86.0283061999944,97.3461081981659,10240,105.19167319102884,119.03058949219049
13,25.831321716308594,0.23158282041549683,0.16890200972557068,0.22164160013198853,0.2050780951976776,0.0004951373057625004,0.5753666996606626,0.009797800099477172,71.30918789992575,7.419713399896864,0.34604960010619834,9.771111799695063,79.08474870002829,89.43335008621216,10240,114.49867404194097,129.4813496700956
14,25.615642547607422,0.2259606271982193,0.1671779453754425,0.23010724782943726,0.19853514432907104,0.0004932174015385628,0.5789605001336895,0.009806000394746661,70.12169849994825,7.292097999772523,0.3168565998785198,9.682608500006609,77.74045909999404,88.00390529632568,10240,116.35847256459809,131.72034380230184
15,25.892738342285156,0.23025423288345337,0.16680441796779633,0.21709612011909485,0.20283205807209015,0.0004911501021817984,0.5739299998967908,0.00955840025562793,70.24026629992295,7.29453089972958,0.31916280009318143,9.623198700137436,77.86351840000134,88.0636351108551,10240,116.27955156643056,131.51216655012888
16,25.33980941772461,0.22371543943881989,0.16329558193683624,0.2212226390838623,0.20332029461860657,0.0004889368245159224,0.6347389000584371,0.00965249992441386,70.05724049999844,7.315643999958411,0.3203606001334265,9.642044899985194,77.7028976000147,87.98209285736084,10240,116.38732004933537,131.78401727966016
17,25.44040870666504,0.22552163898944855,0.16345587372779846,0.21092616021633148,0.2055663764476776,0.00048657908541089125,0.5723462998867035,0.009754899831023067,70.14223030005815,7.323356600070838,0.28633660002378747,9.647744000074454,77.7616783999838,87.98467326164246,10240,116.38390665552657,131.68440047459333
18,25.42966079711914,0.2252020537853241,0.16383789479732513,0.20918619632720947,0.19912110269069672,0.00048407850074331604,0.5697441998054273,0.009600999997928739,70.18016420013737,7.241645700007211,0.3590310999425128,9.633826399920508,77.79044200008502,87.9974102973938,10240,116.36706086455452,131.63570917862646
19,25.45476722717285,0.226038858294487,0.1650567203760147,0.19003470242023468,0.20673827826976776,0.0004814367842890207,0.5741741001838818,0.009729899698868394,70.10514049994526,7.280370500171557,0.3601708999485709,9.643516900076065,77.75541179976426,87.97525906562805,10240,116.39636084914662,131.69501341424373
20,25.4509220123291,0.22623100876808167,0.16627813875675201,0.21343569457530975,0.19521485269069672,0.0004786557465485064,0.5663722000317648,0.009452200029045343,70.19525249995058,7.338278500013985,0.2691984996199608,9.639417100464925,77.81218169961357,88.01934671401978,10240,116.33805955491108,131.59893189385863
