epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,15.331270837783814,0.03313337225466967,0.07478866845369339,0.0,0.019325390733265523,0.0,1.7165549993515015,0.0,0.0,0.0,1.0,0.0002,28.91205930709839
2,9.218673839569092,0.031896423920989035,0.07465176962316036,0.0,0.001362500005016045,0.0,0.7297588658332824,0.0,0.0,0.0,1.0,0.0001997071467046472,21.725927591323853
3,7.638103022575378,0.03117187285795808,0.07489853657782078,0.0,0.0011975585919753939,0.03620000932365656,0.4800417643785477,0.0,0.5,0.0,1.0,0.00019883039235653812,32.02222442626953
4,6.824000382423401,0.030724959690123798,0.07440304815769196,0.0,0.0012746093780697265,0.03408273508772254,0.3525222381949425,0.0,1.0,0.0,1.0,0.0001973751424377793,29.182689428329468
5,6.406268067359925,0.030528524685651065,0.07494337931275367,0.0,0.001194140621482802,0.031886945124715564,0.2847555221617222,0.0,1.5,0.0,1.0,0.0001953503690480396,32.02196788787842
6,6.156917123794556,0.03031643558293581,0.0745556965470314,0.0,0.001217578129380854,0.03038492102175951,0.2463083665072918,0.0,2.0,0.0,1.0,0.00019276855558857225,32.0861029624939
7,5.986436095237732,0.030111665092408656,0.07441367603838443,0.0,0.0011645507820321655,0.02924482896924019,0.22074300646781922,0.0,2.5,0.0,1.0,0.00018964561979789495,32.11350750923157
8,5.8506551933288575,0.029957294818013906,0.07484079256653786,0.0,0.001066796871036786,0.028375617284327744,0.1993727208673954,0.0,3.0,0.0,1.0,0.00018600081561363877,32.073965311050415
9,5.723361973762512,0.029754690062254667,0.07415386453270913,0.0,0.0008291015645409062,0.027215323857963086,0.18180889025330543,0.0,3.5,0.0,1.0,0.00018185661446562003,32.1257107257843
10,5.645285396575928,0.029633464608341455,0.07421711914241313,0.0,0.0007703125004263711,0.026511615943163633,0.16978299513459205,0.0,4.0,0.0,1.0,0.00017723856673200296,32.08207368850708
11,5.55963625907898,0.029360450319945813,0.07473775081336498,0.0,0.0006753906266385456,0.02621843222528696,0.16165588334202766,0.0,4.0,0.0,1.0,0.00017217514421272203,32.14148163795471
12,5.4958011293411255,0.029250331819057465,0.07390348128974437,0.0,0.0007069335924097686,0.025746915563941,0.15459043860435487,0.0,4.0,0.0,1.0,0.0001666975645913675,32.1223828792572
13,5.441206231117248,0.029111934173852206,0.07433495990931988,0.0,0.0005187499974817911,0.0258627119846642,0.14831517815589904,0.0,4.0,0.0,1.0,0.00016083959896778498,32.13767409324646
14,5.380876455307007,0.028885778654366732,0.0741152960062027,0.0,0.0005920898477597802,0.02581466130912304,0.1437400346249342,0.0,4.0,0.0,1.0,0.00015463736364801516,29.173962116241455
15,5.317927389144898,0.02859240347519517,0.07444655358791351,0.0,0.0003988281260171789,0.026084103491157293,0.13967048957943917,0.0,4.0,0.0,1.0,0.00014812909747525697,32.103036880493164
16,5.298204197883606,0.02857168696820736,0.07355873707681894,0.0,0.00047480469018410074,0.02588176345452666,0.13772873274981975,0.0,4.0,0.0,1.0,0.00014135492607468357,32.11095976829529
17,5.283706622123718,0.028553275913000106,0.07424171518534423,0.0,0.0002711914060091658,0.02535154201090336,0.1355603425949812,0.0,4.0,0.0,1.0,0.00013435661446562004,32.10085415840149
18,5.243316159248352,0.0283165043964982,0.07387909650802613,0.0,0.00036025390847498783,0.025549700409173967,0.13450850173830986,0.0,4.0,0.0,1.0,0.00012717730956631105,32.0453155040741
19,5.208774604797363,0.028210722953081132,0.07424243554472923,0.0,0.0002627929684967967,0.025199554171413185,0.1311667025834322,0.0,4.0,0.0,1.0,0.00011986127417882196,32.30440044403076
20,5.165566911697388,0.028036957662552594,0.07387754045426846,0.0,0.0003963867194397608,0.02514139411970973,0.12834053054451944,0.0,4.0,0.0,1.0,0.0001124536140941453,32.192190170288086
21,5.154531426429749,0.0279310561157763,0.07481993317604065,0.0,0.0002787109358905582,0.025079871341586114,0.12824761874973775,0.0,4.0,0.0,1.0,0.00010500000000000002,32.311415910720825
22,5.119932794570923,0.027847406342625617,0.07425877057015896,0.0,0.00023974609330252862,0.024689467661082744,0.12516741797327996,0.0,4.0,0.0,1.0,9.754638590585476e-05,31.965215921401978
