dataset,method,family,stage,sub_family,batch,epoch,ckpt,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,id_clip_style,id_lpips,delta_idt_transfer,delta_idt_full,epoch_time_s,train_wall_s,train_wall_min,infer_ms_per_img,eval_wall_s,location,status,solver,tokenizer,prediction,kinetic,proximal,attention,notes
distinct5-512-1000per,IDT,reference,baseline,,0,0,unchanged,0.6801,0.0000,0.6801,0.0000,0.8479,0.0000,0.0000,0.0000,0,0,0.0,0,0,Reference,keep,identity,identity,identity,off,off,identity,No-op identity reference anchor
distinct5-512-1000per,SaMAM,baseline,external,SSM Mamba b6,6,2250steps,step_2250,0.5523,0.3605,0.5811,0.3538,,,-0.0877,-0.0990,0,27413,456.9,0,0,Remote_3060_WSL,keep,SSM,SSM,SSM,off,off,Mamba,Manuscript-safe SaMAM anchor; negative delta_idt
distinct5-512-1000per,SaMAM,baseline,external,SSM Mamba b6,6,3000steps,step_3000,0.6646,0.3271,0.6978,0.3221,,,0.0247,0.0168,0,36755,612.6,0,0,Remote_3060_WSL,keep,SSM,SSM,SSM,off,off,Mamba,Strong LPIPS; audit_only (not manuscript-safe)
distinct5-512-1000per,SaMST,baseline,external,OMF ODE b1,1,5,epoch_0005,0.6989,0.6335,0.7276,0.6271,,,0.0590,0.0446,0,6959,116.0,430.8,0,Local_Win,keep,euler_legacy,OMF_weight,velocity,global_l2,off,OMF,High raw style; LPIPS severe; ~116min
distinct5-512-1000per,SaMST,baseline,external,OMF ODE b2,2,15,epoch_0015,0.6957,0.6319,0.7247,0.6255,,,0.0558,0.0446,0,20835,347.3,0,0,Local_Win,keep,euler_legacy,OMF_weight,velocity,global_l2,off,OMF,Saturated SaMST; ~347min
distinct5-512-1000per,SaMAM-latent,baseline,external,SSM Mamba latent,1,1500steps,step1500_fast,0.6547,0.1635,0.6920,0.1634,,,0.0148,0.0119,0,0,0,0,0,Remote_3060_WSL,keep,SSM,SSM,SSM,off,off,Mamba,Very early but LPIPS extreme
distinct5-512-1000per,SaMST-latent,baseline,external,OMF ODE latent,1,1050steps,batch1050_fast,0.6820,0.8318,0.6826,0.8320,,,0.0421,0.0025,0,0,0,0,0,Remote_3060_WSL,keep,OMF,OMF_weight,velocity,off,off,OMF,Best latent SaMST convergence; LPIPS catastrophic
distinct5-512-1000per,LBM,F_e1-samecost,baseline,annealed_prototype_ot,44,1,epoch_0001,0.6644,0.3245,0.6969,0.3186,,,0.0244,0.0168,0,73.0,1.2,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Compact LPIPS anchor; direct_atom_residual+annealed_prototype_ot_queue
distinct5-512-1000per,LBM,H_e1-samecost,baseline,hard_explore_queue,44,1,epoch_0001,0.6653,0.3281,0.6974,0.3213,,,0.0253,0.0162,0,73.2,1.2,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Best LPIPS content-preserving variant
distinct5-512-1000per,LBM,H_e2-samecost,baseline,hard_explore_queue,44,2,epoch_0002,0.6684,0.3561,0.6994,0.3484,,,0.0285,0.0253,0,136.0,2.3,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Balanced style/content point; e2 better style than e1
distinct5-512-1000per,LBM,K_e1-samecost,baseline,content_adaptive_vq,44,1,epoch_0001,0.6712,0.3723,0.7010,0.3623,,,0.0312,0.0209,0,72.5,1.2,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Highest raw style single-epoch; content_adaptive_vq_queue
distinct5-512-1000per,LBM,K_longer_e5-samecost,negative,content_adaptive_vq,44,5,epoch_0005,0.6670,0.3588,0.6969,0.3504,,,0.0271,0.0257,0,332.7,5.5,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Negative: e1 always better than e5+
distinct5-512-full,LBM,k_spatial_b16,int-imml,kinetic_spatial_lap,16,6,epoch_0006,0.6787,0.3505,0.7094,0.3416,,,0,0.0293,183.5,1107.1,18.5,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,velocity,spatial_lap,off,SemanticCrossAttn,Negative: stable but no style ceiling raise
distinct5-512-full,LBM,k_manifold_b16,int-imml,kinetic_manifold,16,6,epoch_0006,0.6789,0.3349,0.7106,0.3261,,,0,0.0305,264.3,1390.1,23.2,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,velocity,manifold_adaptive,off,SemanticCrossAttn,Slight content-preserving improvement over k_spatial
distinct5-512-full,LBM,k_spectral_b12,int-imml,kinetic_spectral,12,2,epoch_0002,0.6788,0.3637,0.7101,0.3522,,,0,0.0301,199.9,425.7,7.1,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,Best kinetic-only on transfer style
