experiment_id,dataset,method,family,sub_family,batch,epoch,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,id_clip_style,id_lpips,delta_idt_transfer,delta_idt_full,epoch_time_s,train_wall_s,train_wall_min,infer_ms_per_img,eval_wall_s,cuda_gb,location,status,solver,tokenizer,prediction,kinetic,proximal,attention,notes
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0004,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0004,0.67396,0.341721,0.706208,0.333426,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0005,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0005,0.678279,0.330843,0.709796,0.323327,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_k_spectral_seed42_b12/epoch_0006,distinct5-512/full,LBM,K_spectral_b12,k spectral b12,12,0006,0.677299,0.322865,0.709053,0.315566,,,,,,,,,,,Remote_3060,completed,euler_legacy,legacy_factorized,velocity,spectral_orthogonal,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0001,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0001,0.699748,0.748469,0.701053,0.744721,,,,,111.001864,111.001864,1.9,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0002,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0002,0.710779,0.725787,0.712318,0.720701,,,,,108.167579,219.169443,3.7,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0003,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0003,0.716056,0.655888,0.720367,0.648995,,,,,108.238843,327.408287,5.5,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0004,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0004,0.718404,0.628413,0.72487,0.621403,,,,,108.332675,435.740961,7.3,,,2.901277,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0005,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0005,0.725521,0.614892,0.731904,0.607407,,,,,108.145448,543.88641,9.1,,,2.89783,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0006,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0006,0.723631,0.602941,0.731129,0.594609,,,,,108.372617,652.259027,10.9,,,2.838515,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0007,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0007,0.721559,0.595392,0.730421,0.588431,,,,,107.446841,759.705868,12.7,,,2.838515,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b16/epoch_0008,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,16,0008,0.721103,0.571524,0.7311,0.563188,,,,,107.48715,867.193018,14.5,,,2.838515,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0001,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0001,0.643279,0.781253,0.644872,0.777528,,,,,106.035989,106.035989,1.8,,,7.119936,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0002,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0002,0.684922,0.784211,0.686218,0.780666,,,,,93.025599,199.061587,3.3,,,7.1225,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0003,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0003,0.711291,0.76573,0.711545,0.759385,,,,,93.055995,292.117583,4.9,,,7.115419,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0004,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0004,0.712221,0.750654,0.713974,0.744574,,,,,93.459714,385.577296,6.4,,,7.122012,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0005,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0005,0.71766,0.726448,0.720311,0.720025,,,,,93.821801,479.399097,8,,,7.119786,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0006,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0006,0.72499,0.724162,0.726863,0.716859,,,,,93.248208,572.647305,9.5,,,7.1225,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0007,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0007,0.724428,0.71775,0.727074,0.710584,,,,,93.245535,665.89284,11.1,,,7.128726,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_bary_seed42_b40/epoch_0008,distinct5-512/full,LBM,XPred_Barycenter,xpred barycenter,40,0008,0.719567,0.712136,0.722346,0.705223,,,,,93.253634,759.146474,12.7,,,7.119298,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0001,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0001,0.713568,0.59311,0.718417,0.587822,,,,,145.236058,145.236058,2.4,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0002,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0002,0.686309,0.656823,0.689319,0.65147,,,,,154.251018,299.487075,5,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0003,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0003,0.688825,0.688676,0.690185,0.683663,,,,,154.395845,453.882921,7.6,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0004,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0004,0.684042,0.691102,0.685832,0.686606,,,,,131.623277,585.506197,9.8,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0005,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0005,0.685253,0.716984,0.686365,0.713393,,,,,131.034726,716.540924,11.9,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0006,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0006,0.676916,0.69175,0.67708,0.685063,,,,,131.030558,847.571482,14.1,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0007,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0007,0.682277,0.719071,0.681421,0.712725,,,,,131.876695,979.448176,16.3,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_aniso_seed42_b16/epoch_0008,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_Aniso,xpred kmanifold pattn aniso,16,0008,0.687722,0.718563,0.688434,0.711579,,,,,131.588726,1111.036902,18.5,,,6.771178,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/epoch_0012,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,xpred plus kmanifold plus pattn then anisostokesqueue,8,0012,0.685628,0.421257,0.712828,0.415022,,,,,192.531624,192.531624,3.2,,,3.444584,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/epoch_0013,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,xpred plus kmanifold plus pattn then anisostokesqueue,8,0013,0.710217,0.460315,0.730332,0.455941,,,,,189.376981,381.908605,6.4,,,3.444584,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/epoch_0014,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,xpred plus kmanifold plus pattn then anisostokesqueue,8,0014,0.694549,0.577408,0.699919,0.573173,,,,,185.734852,567.643457,9.5,,,3.444584,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/epoch_0015,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,xpred plus kmanifold plus pattn then anisostokesqueue,8,0015,0.69339,0.580314,0.698434,0.575667,,,,,188.896504,756.539961,12.6,,,3.444584,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2/epoch_0016,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,xpred plus kmanifold plus pattn then anisostokesqueue,8,0016,0.693372,0.595389,0.698523,0.590802,,,,,183.216121,939.756083,15.7,,,3.444584,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0001,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0001,0.668195,0.759895,0.669816,0.755643,,,,,144.194592,144.194592,2.4,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0002,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0002,0.70922,0.723136,0.7121,0.717337,,,,,140.347745,284.542337,4.7,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
