epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,3.0599291141956084,0.04876381364996515,0.011508431439588388,0.2825991246368616,0.287543518168311,0.0,0.0,0.0,0.0,0.0,0.0,0.026761651452210163,0.32338750242225583,0.19099088788272872,0.059205258449148986,0.08205387711284622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,151.50197887420654
2,2.6271209034227554,0.17103593405936995,0.0059900066473581376,0.5122543245313629,0.5226061205950475,0.0,0.0,0.0,0.0,0.0,0.0,0.024348647664150885,0.23468649008822057,0.19284496774836893,0.21384613624503535,0.07726846401008867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.999753262144806e-05,138.04098749160767
3,2.348028657897826,0.2697735487092887,0.006771597943659271,0.7886742651462555,0.8689319887949575,0.0,0.0,0.0,0.0,0.0,0.0,0.022958613849515395,0.16743188750960172,0.18500685769944422,0.3788282901289002,0.0761801356209382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.999013075636806e-05,138.13510966300964
4,2.2891546718535887,0.34314987556107585,0.006588094454679278,0.8953294797289756,1.1575169839685964,0.0,0.0,0.0,0.0,0.0,0.0,0.022353125285477407,0.15002988405045,0.178637913157863,0.4361970032895765,0.07567698349274936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.997779521645793e-05,137.69577527046204
5,2.272704993524859,0.3834322829159998,0.007349020964841569,0.962093340533395,1.2959744449584716,0.0,0.0,0.0,0.0,0.0,0.0,0.02179700405817599,0.14696613116370094,0.17220781232801177,0.4600115915940654,0.0753427107608126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.996052735444864e-05,138.0235652923584
6,2.3301154057825766,0.4302226932298753,0.010488243506950956,1.0214969039924684,1.4317896481483214,0.5957183220213459,0.48350575506206483,1.3304710460285987,0.0,0.0,0.0,0.021503425376009074,0.14400002423433528,0.16454662568867207,0.43633175749451886,0.07513373053722805,0.0,0.20802743002892501,0.0,0.013333333656191826,0.013333333656191826,0.019999999552965164,0.0,0.0026666666381061077,0.0,1.0,9.993832906395583e-05,381.26010489463806
7,2.3703931627735013,0.47940400495163854,0.010205335804306331,1.0724773974187913,1.60151907417082,0.5639638980069468,0.48349160833224175,1.2457982292098384,0.0,0.0,0.0,0.02109807282836447,0.14430766468567233,0.15590003841826994,0.40621442756345194,0.07504205024170299,0.0,0.21074086695068306,0.0,0.02666666731238365,0.02666666731238365,0.03999999910593033,0.0,0.005333333276212215,0.0,1.0,9.991120277927223e-05,372.0283226966858
8,2.406318570336988,0.5311271069991973,0.009803056262523657,1.1169127197034898,1.7938830939031416,0.54085617416328,0.48254265143505987,1.1664530615652762,0.0,0.0,0.0,0.02085069314606728,0.14181473049064797,0.14803461454087688,0.377916615696684,0.07504398760295683,0.0,0.20144726960889756,0.0,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.0,0.00800000037997961,0.0,1.0,9.987915147510061e-05,368.3296740055084
9,2.4479004779169635,0.5731286245488352,0.010503312604757207,1.1630626638089456,1.9830094816223267,0.5177530124783516,0.478114424333457,1.088602672421163,0.0,0.0,0.0,0.020653578557915265,0.14094897431711997,0.14049378842596086,0.3506433912102253,0.07507301587611437,0.0,0.20869639221458666,0.0,0.0533333346247673,0.0533333346247673,0.07999999821186066,0.0,0.01066666655242443,0.0,1.0,9.98421786662277e-05,368.30529618263245
10,2.509248492217833,0.6510611121212283,0.011314456854316016,1.1994966903040487,2.3375773468325214,0.5000558916118837,0.47503952165284463,1.0211907819874826,0.0,0.0,0.0,0.020396085493567008,0.13993741547869099,0.13351933549969427,0.3261724888317047,0.07507735439726422,0.0,0.18556486157279822,0.0,0.06666667014360428,0.06666667014360428,0.10000000149011612,0.0,0.013333333656191826,0.0,1.0,9.98002884071386e-05,369.77072501182556
11,2.5609587075248843,0.6770243529350527,0.011628889043124454,1.2328061475869148,2.465361119758698,0.48161807007366614,0.4656787764641546,0.961334167949615,0.0,0.0,0.0,0.02063021892231078,0.14025455683229432,0.12656004026892684,0.30731987604691136,0.07505351815733217,0.0,0.18535620121345406,0.0,0.07999999821186066,0.07999999821186066,0.11999999731779099,0.0,0.01600000075995922,0.0,1.0,9.97534852915723e-05,370.3271436691284
12,2.5645788042776045,0.6746124108472178,0.011887906081674079,1.2732666346334642,2.5386613737190924,0.46540412114512536,0.45789074128673923,0.8893263664457106,0.0,0.0,0.0,0.020446131156096534,0.14066307820499904,0.11897154266555462,0.2835144779134181,0.07501652139809824,0.0,0.1780144585176341,0.0,0.09333333373069763,0.09333333373069763,0.14000000059604645,0.0,0.018666666001081467,0.0,1.0,9.970177445201784e-05,370.2261281013489
13,2.7367918481749873,0.6897715505573058,0.0138960373775673,1.3207018884920305,2.6441456545745172,0.4368204892643036,0.43407323764216516,0.7977726896924358,0.0,0.0,0.0,0.02041530374047016,0.14107836236155802,0.11176981656782088,0.25486140872441954,0.07488560234947551,5.870418056364982,0.1670730484559411,0.0,0.1066666692495346,0.1066666692495346,0.1599999964237213,0.02500000037252903,0.02133333310484886,0.0,1.0,9.964516155915151e-05,376.16131234169006
14,2.922790003399695,0.7320972041737649,0.014269100791294008,1.3401067266541142,2.8462468443378324,0.4025792908524313,0.40170962699959356,0.7098987986964564,0.0,0.0,0.0,0.020804565715333147,0.14479612949634751,0.10607901173493554,0.22760863530059014,0.07470705261033389,5.334419896525722,0.14403377262304626,0.0,0.11999999731779099,0.11999999731779099,0.18000000715255737,0.05000000074505806,0.024000000208616257,0.0,1.0,9.958365282121496e-05,377.4393835067749
15,3.010185315724342,0.6807896956320731,0.012744763385384314,1.3810682753401418,2.7062051973996626,0.3643961583654727,0.36669907718896866,0.6258732936074657,0.0,0.0,0.0,0.021432886095417124,0.15219148945423863,0.09774384097827057,0.20189144624577415,0.07438759749094324,4.599786281585693,0.1332715144005394,0.0,0.13333334028720856,0.13333334028720856,0.20000000298023224,0.07500000298023224,0.02666666731238365,0.0,1.0,9.951725498333447e-05,384.09557271003723
16,3.0602669648585783,0.6388160027563572,0.01262661664851851,1.427527094079602,2.512059975054956,0.3267602284829463,0.3365830670922033,0.5531043703517606,0.0,0.0,0.0,0.021911111803004337,0.15802318623830233,0.08895187124970459,0.18110158312464913,0.07402573315606963,3.8814227927115654,0.11808742211771107,0.0,0.14666666090488434,0.14666666090488434,0.2199999988079071,0.10000000149011612,0.029333332553505898,0.0,1.0,9.944597532678119e-05,385.8556499481201
17,3.107664449561027,0.6144378414798167,0.014164986948843205,1.476721600659432,2.387043653476623,0.29929118339092503,0.31790184878533884,0.49914506414244253,0.0,0.0,0.0,0.022184194163269094,0.1628485580365504,0.08044097782863725,0.16638699648601393,0.07363555138750423,3.346414908286064,0.09972916891227566,0.0,0.1599999964237213,0.1599999964237213,0.23999999463558197,0.125,0.03200000151991844,0.0,1.0,9.936982166817271e-05,387.5895354747772
18,3.1673316109564995,0.6143558659861165,0.014040314795209034,1.5174834680172704,2.406998288727576,0.271207497425137,0.2967302603346686,0.4482875693469278,0.0,0.0,0.0,0.0226405332045209,0.16878176919154583,0.07242116359092536,0.15220722508045934,0.0732103046931086,2.943461489292883,0.09287198117723869,0.0,0.1733333319425583,0.1733333319425583,0.25999999046325684,0.15000000596046448,0.03466666489839554,0.0,1.0,9.928880235861587e-05,384.37421107292175
