epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,transfer_ratio,lr,epoch_time_sec
51,2.6163590367763274,0.0,0.0,0.0,0.0,0.07832178158024626,0.18356611098973982,0.2735760380183497,0.02456858667785362,0.22530569376484041,0.0,0.1037832066536911,0.0612873507273053,0.38171926284990004,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.397114317029975e-05,177.9253659248352
52,2.603928158360143,0.0,0.0,0.0,0.0,0.07667444484128107,0.18837494108705752,0.2726996902136072,0.024400699816103422,0.2264201332244181,0.0,0.10332537514548149,0.06100095670309759,0.36834832833659265,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.373339121517747e-05,166.2189450263977
53,2.6090553239468606,0.0,0.0,0.0,0.0,0.07748790148405298,0.19455787887977016,0.28319501083704735,0.024493273572936174,0.22500187993770646,0.0,0.10735194691486898,0.060725207831109726,0.3702670832074458,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.349139170722281e-05,168.61560249328613
54,2.584652345026693,0.0,0.0,0.0,0.0,0.07547706629960768,0.19635105421466212,0.28173060883437434,0.02422265044503635,0.2245392063933034,0.0,0.1079793046378801,0.06045042124066141,0.35829010762033925,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.32451711844089e-05,169.35117840766907
55,2.573305021370611,0.0,0.0,0.0,0.0,0.07512354014080859,0.19960487111201208,0.28147937369442755,0.02419368153618228,0.2231396129054408,0.0,0.10875639625855031,0.06021625458473159,0.3505204158925241,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.29947566475907e-05,165.62376236915588
56,2.5656579521394547,0.0,0.0,0.0,0.0,0.0747689883855562,0.20099387984843023,0.28407462133515266,0.02421784475295534,0.22179246880114079,0.0,0.1106977756285379,0.059999646348578316,0.34289146911713386,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.274017555754411e-05,169.20619773864746
57,2.5541771727223552,0.0,0.0,0.0,0.0,0.074823250212977,0.20521889705090754,0.28977410134769255,0.02408795024178201,0.22004846273170364,0.0,0.11343059655759603,0.05979337112136906,0.3430036988950545,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.248145583195451e-05,168.80170845985413
58,2.5654557645320892,0.0,0.0,0.0,0.0,0.07616616223728465,0.2067282469041886,0.2949419498683945,0.02430534155498589,0.21945371893384763,0.0,0.11541263900336719,0.059628729197767474,0.3422963655283374,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.22186258423553e-05,164.94723892211914
59,2.5374614721344364,0.0,0.0,0.0,0.0,0.07437725972023702,0.20716484239505184,0.2882820882143513,0.023905366005736492,0.22060342968231247,0.0,0.11408919537620198,0.05943390357518388,0.3284258102217028,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.195171441101671e-05,169.4662425518036
60,2.5561939381784007,0.0,0.0,0.0,0.0,0.07551926596751136,0.21051564962873537,0.29678876529778203,0.02418474485767224,0.21999410918403056,0.0,0.11715792870569613,0.05926079286502734,0.33233579464497104,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.6000000238418579,0.0,1.0,9.168075080778497e-05,164.9608519077301
