metric,init_value,checkpoint_value,checkpoint_minus_init,checkpoint_over_init,init_bucket,checkpoint_bucket,transition
matched_target_spatial_forward_delta,0.027263857424259186,0.0006785966106690466,-0.02658526081359014,0.024889970634354778,strong_runtime_lever,weak_runtime_lever,trained_suppression
matched_target_code_forward_delta,0.0009495487902313471,0.0003025150508619845,-0.0006470337393693626,0.3185882115528577,weak_runtime_lever,weak_runtime_lever,roughly_stable
matched_target_both_forward_delta,0.029290778562426567,0.0007176385843195021,-0.028573139978107065,0.02450049536204783,strong_runtime_lever,weak_runtime_lever,trained_suppression
topology_gate1_blend_effect_delta,0.02928299456834793,0.0008277031010948122,-0.02845529146725312,0.028265657706656774,strong_runtime_lever,weak_runtime_lever,trained_suppression
anatomy_code_only_delta,0.0009495487902313471,0.0003025150508619845,-0.0006470337393693626,0.3185882115528577,weak_runtime_lever,weak_runtime_lever,roughly_stable
anatomy_spatial_delta,0.027263857424259186,0.0006785966106690466,-0.02658526081359014,0.024889970634354778,strong_runtime_lever,weak_runtime_lever,trained_suppression
styleid_max_forward_pair_delta,0.010786017403006554,0.206285297870636,0.19549928046762943,19.125251718315873,moderate_runtime_lever,strong_runtime_lever,trained_amplification
styleid_mean_forward_pair_delta,0.00868327347561717,0.11077464111149311,0.10209136763587594,12.757244306833227,moderate_runtime_lever,strong_runtime_lever,trained_amplification
styleid_max_body_pair_delta,0.0,0.0,0.0,,exact_noop,exact_noop,persistent_noop
styleid_mean_body_pair_delta,0.0,0.0,0.0,,exact_noop,exact_noop,persistent_noop
styleid_max_delta_pair_delta,0.010786017403006554,0.206285297870636,0.19549928046762943,19.125251718315873,moderate_runtime_lever,strong_runtime_lever,trained_amplification
styleid_mean_delta_pair_delta,0.00868327347561717,0.11077464111149311,0.10209136763587594,12.757244306833227,moderate_runtime_lever,strong_runtime_lever,trained_amplification
