epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
11,2.982587,4.299484,63.360603,5.55e-05,0.00
12,2.985413,4.291870,62.152040,6.04e-05,0.00
13,2.987412,4.289380,60.945247,6.54e-05,0.00
14,2.996376,4.287973,60.462469,7.03e-05,0.00
15,2.990810,4.284890,59.513080,7.53e-05,0.00
16,2.993497,4.284314,58.931943,8.02e-05,0.00
17,2.992899,4.277548,58.324496,8.52e-05,0.00
18,2.995619,4.278820,57.810091,9.01e-05,0.00
19,2.992244,4.278984,57.003663,9.51e-05,0.00
20,2.989759,4.277214,55.965422,1.00e-04,0.00
21,2.990300,4.277553,54.982985,1.00e-04,0.00
22,2.991879,4.277020,54.150840,1.00e-04,0.00
23,2.987599,4.275238,52.964073,1.00e-04,0.00
24,2.987591,4.273146,51.834778,1.00e-04,0.00
25,2.991191,4.273635,50.927173,1.00e-04,0.00
26,2.988951,4.271494,49.883602,9.99e-05,0.00
27,2.992356,4.270132,49.087580,9.99e-05,0.00
28,2.991172,4.264951,48.063449,9.99e-05,0.00
29,2.993153,4.264906,47.382390,9.99e-05,0.00
30,2.991855,4.263363,46.624486,9.98e-05,0.00
31,2.992663,4.264263,45.732953,9.98e-05,0.00
32,2.989657,4.263953,44.828698,9.98e-05,0.00
33,3.001960,4.263389,44.787262,9.97e-05,0.00
34,2.990265,4.258681,43.946476,9.97e-05,0.00
35,2.989377,4.255729,42.942849,9.96e-05,0.00
36,2.997092,4.261087,42.555708,9.96e-05,0.00
37,2.997534,4.256499,42.396246,9.95e-05,0.00
38,2.992795,4.254514,41.454255,9.95e-05,0.00
39,2.998202,4.251761,41.387644,9.94e-05,0.00
40,2.995711,4.254673,40.731386,9.93e-05,0.00
41,2.997537,4.250732,40.356835,9.93e-05,0.00
42,2.996577,4.251862,39.988074,9.92e-05,0.00
43,3.002319,4.254065,39.786872,9.91e-05,0.00
44,2.994395,4.255786,39.126342,9.90e-05,0.00
45,3.000774,4.254290,39.033416,9.89e-05,0.00
46,2.998830,4.252773,38.675841,9.89e-05,0.00
47,2.995889,4.250042,38.088858,9.88e-05,0.00
48,3.008466,4.254248,38.328690,9.87e-05,0.00
49,2.996128,4.250369,37.842604,9.86e-05,0.00
50,3.001981,4.248926,37.679226,9.85e-05,0.00
51,2.994826,4.252005,37.075299,9.84e-05,0.00
