epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,696.584276966213,34.61880577716631,0.5864120936885322,0.009950230562982639,10.271510075048074,0.0009989136466624447,1.0,1.0,0.8959835906004169,5.000000000000001e-07,3.14344870000059,150.13769780000166,153.28774333000183,62080,404.989979311996
2,690.0544185048526,34.25957906860666,0.5862137681430148,0.0299863668216258,10.272265144230165,0.006096246005419987,1.0,1.0,0.9054531660891071,2.9750000000000003e-06,2.9532649999982823,151.96742979999863,154.92648768424988,62080,400.7061731530571
3,687.7115251993396,34.12554690764122,0.5874232815712997,0.03954552448133832,10.27338836119347,0.008904459946260778,1.0,1.0,0.8999855745698988,5.450000000000001e-06,2.971177500000522,152.07683679999627,155.05328702926636,62080,400.3784840000353
4,678.7074298662009,33.64188251298727,0.5837266712459093,0.0599553670695762,10.277927034908963,0.014484990244136029,1.0,1.0,0.8993716436563078,7.925000000000001e-06,2.9441613000044526,150.4846955000039,153.43478727340698,62080,404.60185791752053
5,667.4010409325668,33.027611231066516,0.5803633697868622,0.08556470347894836,10.26586691866216,0.0241823833550989,1.0,1.0,0.9122841972665688,1.0400000000000002e-05,2.950851700003568,146.9340735000037,149.89088010787964,62080,414.1679597539204
6,661.8246890982401,32.68169505325789,0.5782380346784887,0.11849015805217408,10.270554601531668,0.03805467938601049,1.0,1.0,0.8950941900617069,1.2875000000000001e-05,3.0320174999969822,151.4343673999997,154.4719524383545,62080,401.8852550256618
7,651.5114028773357,32.06658892287422,0.5744891968584552,0.16635763944731546,10.275923227526478,0.05904870760655895,1.0,1.0,0.898680635948771,1.535e-05,2.951251800002865,144.2801786999994,147.23789620399475,62080,421.63058289008404
8,639.6696472167969,31.33473982270231,0.5708060928226746,0.23440217994844792,10.276498887956757,0.08810256212258462,1.0,1.0,0.9024241274779605,1.7825000000000003e-05,3.0057835999996314,149.70174189999534,152.7185342311859,62080,406.49944888826036
9,624.1074461002939,30.379544897177784,0.5658411730810539,0.3228701145685825,10.286772265876692,0.12402529284818885,1.0,1.0,0.9030115696572766,2.0300000000000006e-05,3.1213241000023118,155.26057599999558,158.38710594177246,62080,391.9510974764723
10,610.1256924658707,29.449254802821837,0.5609186890813493,0.4420662073744941,10.287872171893563,0.1693177682145969,1.0,1.0,0.8997921427500617,2.2775000000000005e-05,3.139752200003386,155.88769870000033,159.03302669525146,62080,390.35916809255843
11,597.3304484259222,28.534349893786242,0.5566176876579363,0.5892052561351934,10.285646433682786,0.22095385869753728,1.0,1.0,0.9043224635197944,2.5250000000000007e-05,3.115281299995331,155.88312859999587,159.0054578781128,62080,390.4268496719656
12,583.1203978233731,27.479535909043143,0.5529546501095762,0.7824529265005564,10.286567874790467,0.2817438445294026,1.0,1.0,0.9006566537409714,2.772500000000001e-05,3.1300197000100525,155.99023750000924,159.13144874572754,62080,390.11773278829503
13,568.0867514069547,26.340755000556868,0.5452561280162064,1.0108418400140153,10.298951989596652,0.34597277118987646,1.0,1.0,0.8985121594261878,3.0200000000000012e-05,3.13449670000864,155.73449069999788,158.87543106079102,62080,390.7463827824085
14,553.2045332131927,25.2131014263507,0.539464498918081,1.24800827546218,10.298697727242695,0.40510296237837407,1.0,1.0,0.8961522840347487,3.2675000000000015e-05,3.090215600010197,155.07826179999756,158.17607975006104,62080,392.4740080680628
15,543.1377447069306,24.360005752327517,0.5351690969516322,1.4840079257168721,10.309753290156728,0.4510130479778211,1.0,1.0,0.8977753842614361,3.5150000000000014e-05,3.3218375000005835,155.60063920000175,158.92980909347534,62080,390.6126884194981
