endpoint_adain_scale,epoch,checkpoint_sha256,clip_s,lpips,dino_s,dino_c,protocol
1.5,6,67ca62f377f1606f2369904ebd9535f250d5b98caf254cb50ec834a788aec621,0.7175465803,0.2870540729,0.4846352793,0.8038734974,750-image-D5-8step
2.0,6,67ca62f377f1606f2369904ebd9535f250d5b98caf254cb50ec834a788aec621,0.7074506925,0.2507582017,0.4866787613,0.8280592558,750-image-D5-8step
2.5,6,67ca62f377f1606f2369904ebd9535f250d5b98caf254cb50ec834a788aec621,0.6940537012,0.5813830014,0.3060488985,0.2586267064,750-image-D5-8step
