method,wins_so_far,cases_completed,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far
Hold4TwoStage_e12,20,616,23,10,35
LBM-Knee_e13,0,616,0,41,38
Seedream_repaired750,596,616,593,565,543
