comparison,method,cases_completed,wins_so_far,win_rate_so_far,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far,mean_style_specificity,mean_structure_preservation,mean_artifact_control
LBM-PS-v2_vs_Seedream_vs_SaMST_e15,LBM-PS-v2_e13,531,12,0.022598870056497175,12,60,42,1.9792843691148776,2.4105461393596985,2.048964218455744
LBM-PS-v2_vs_Seedream_vs_SaMST_e15,SaMST_e15,531,84,0.15819209039548024,105,28,52,3.647834274952919,3.5969868173258,3.3145009416195856
LBM-PS-v2_vs_Seedream_vs_SaMST_e15,Seedream_repaired750,531,435,0.8192090395480226,414,443,437,4.610169491525424,4.721280602636535,4.67984934086629
LBM-PS-v2_vs_Seedream_vs_SaMAM_2250,LBM-PS-v2_e13,540,13,0.024074074074074074,13,77,44,1.9537037037037037,2.403703703703704,1.951851851851852
LBM-PS-v2_vs_Seedream_vs_SaMAM_2250,SaMAM_2250,540,166,0.3074074074074074,168,130,182,3.8296296296296295,4.155555555555556,4.090740740740741
LBM-PS-v2_vs_Seedream_vs_SaMAM_2250,Seedream_repaired750,540,361,0.6685185185185185,359,333,314,4.4148148148148145,4.4222222222222225,4.283333333333333
