method,wins_so_far,cases_completed,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far
DualPathFresh_e09,3,87,3,1,2
LBM-Knee_e13,0,87,0,4,3
Seedream_repaired750,84,87,84,82,82
