method,wins_so_far,cases_completed,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far
LBM-PS-v2_e13,0,58,0,1,0
SaMAM_2250,21,58,21,28,32
SaMST_e15,0,58,2,0,0
Seedream_repaired750,37,58,35,29,26
