method,cases_completed,wins_so_far,win_rate_so_far,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far,mean_style_specificity,mean_structure_preservation,mean_artifact_control
Hold4TwoStage_e20,549,18,0.03278688524590164,18,14,24,2.4335154826958107,2.938069216757741,2.2586520947176685
LBM-Knee_e13,549,1,0.0018214936247723133,2,37,36,2.07103825136612,3.302367941712204,2.528233151183971
Seedream_repaired750,549,530,0.9653916211293261,529,498,489,4.910746812386157,4.85792349726776,4.819672131147541
