-----------init SaMam model-----------
inference by mamba-ssm, quick
upsample: 8

Training: |          | 0/? [00:00<?, ?it/s]
Training: |          | 0/? [00:00<?, ?it/s]
Epoch 0: |          | 0/? [00:00<?, ?it/s] 
Epoch 0: |          | 1/? [00:02<00:00,  0.42it/s]
Epoch 0: |          | 1/? [00:02<00:00,  0.42it/s, v_num=0, id_loss1=64.40, id_loss2=12.80, loss_style=24.10, loss_content=14.20]
Epoch 0: |          | 2/? [00:02<00:00,  0.70it/s, v_num=0, id_loss1=64.40, id_loss2=12.80, loss_style=24.10, loss_content=14.20]
Epoch 0: |          | 2/? [00:02<00:00,  0.70it/s, v_num=0, id_loss1=42.20, id_loss2=8.710, loss_style=41.60, loss_content=13.40]
Epoch 0: |          | 3/? [00:03<00:00,  0.91it/s, v_num=0, id_loss1=42.20, id_loss2=8.710, loss_style=41.60, loss_content=13.40]
Epoch 0: |          | 3/? [00:03<00:00,  0.91it/s, v_num=0, id_loss1=56.00, id_loss2=8.960, loss_style=25.90, loss_content=13.90]
Epoch 0: |          | 4/? [00:03<00:00,  1.06it/s, v_num=0, id_loss1=56.00, id_loss2=8.960, loss_style=25.90, loss_content=13.90]
Epoch 0: |          | 4/? [00:03<00:00,  1.06it/s, v_num=0, id_loss1=31.00, id_loss2=10.60, loss_style=29.40, loss_content=13.80]
Epoch 0: |          | 5/? [00:04<00:00,  1.15it/s, v_num=0, id_loss1=31.00, id_loss2=10.60, loss_style=29.40, loss_content=13.80]
Epoch 0: |          | 5/? [00:04<00:00,  1.15it/s, v_num=0, id_loss1=39.40, id_loss2=22.00, loss_style=43.80, loss_content=14.00]
Epoch 0: |          | 6/? [00:04<00:00,  1.23it/s, v_num=0, id_loss1=39.40, id_loss2=22.00, loss_style=43.80, loss_content=14.00]
Epoch 0: |          | 6/? [00:04<00:00,  1.23it/s, v_num=0, id_loss1=45.00, id_loss2=8.430, loss_style=39.70, loss_content=13.60]
Epoch 0: |          | 7/? [00:05<00:00,  1.31it/s, v_num=0, id_loss1=45.00, id_loss2=8.430, loss_style=39.70, loss_content=13.60]
Epoch 0: |          | 7/? [00:05<00:00,  1.31it/s, v_num=0, id_loss1=47.30, id_loss2=10.40, loss_style=28.30, loss_content=13.90]
Epoch 0: |          | 8/? [00:05<00:00,  1.38it/s, v_num=0, id_loss1=47.30, id_loss2=10.40, loss_style=28.30, loss_content=13.90]
Epoch 0: |          | 8/? [00:05<00:00,  1.38it/s, v_num=0, id_loss1=31.60, id_loss2=10.40, loss_style=44.80, loss_content=13.90]
Epoch 0: |          | 9/? [00:06<00:00,  1.45it/s, v_num=0, id_loss1=31.60, id_loss2=10.40, loss_style=44.80, loss_content=13.90]
Epoch 0: |          | 9/? [00:06<00:00,  1.44it/s, v_num=0, id_loss1=24.60, id_loss2=16.70, loss_style=60.00, loss_content=14.00]
