epoch,loss,swd,color,identity,delta_tv,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,24.16373634338379,0.28032317757606506,0.3269381821155548,0.31373080611228943,0.08859162032604218,0.20205076038837433,0.00014,0.6202937001362443,0.010389100178144872,70.14103780011646,10.379255599924363,0.16056610038504004,9.509866498876363,80.69124860060401,90.82762837409973,10240,112.74102586741132,126.9034768650655
2,21.922992706298828,0.239713653922081,0.25158652663230896,0.357534795999527,0.11066747456789017,0.20400388538837433,0.00013995142928316555,0.5987895004218444,0.010020700516179204,71.0194274999667,8.510819199727848,0.12578630028292537,9.493307499215007,79.66605370049365,89.76084041595459,10240,114.08092830400778,128.53655383129072
3,21.372167587280273,0.2293337732553482,0.25098466873168945,0.37149980664253235,0.1272449493408203,0.20283202826976776,0.00013980579202518706,0.5669423999497667,0.010021899710409343,71.0732843001606,8.486622100113891,0.1268446003086865,9.51350649970118,79.69677290029358,89.78027439117432,10240,114.0562341721538,128.4870092897109
4,21.24071502685547,0.2303205132484436,0.2606043815612793,0.3917509913444519,0.14382031559944153,0.20126952230930328,0.00013956331278816035,0.6202501002699137,0.009739599307067692,70.95722369977739,8.509977999608964,0.12905629992019385,9.497168401139788,79.60599759861361,89.72658967971802,10240,114.12447566047047,128.63352396677126
5,21.192014694213867,0.22928468883037567,0.26316773891448975,0.4104968011379242,0.15762323141098022,0.20097656548023224,0.00013922436545749366,0.563704900094308,0.010115299606695771,70.97472589975223,8.5182001007488,0.1273254001280293,9.49453859962523,79.63036670023575,89.69231915473938,10240,114.16808146451986,128.59415853939151
6,21.257522583007812,0.23056134581565857,0.26667383313179016,0.4045572280883789,0.16134031116962433,0.19882811605930328,0.0001387894726654035,0.5582176996394992,0.010378400096669793,71.02261379978154,8.526873800205067,0.1264932001940906,9.498238399857655,79.68635920027737,89.74507999420166,10240,114.1009624222475,128.50380043419474
7,21.02957534790039,0.22757165133953094,0.2665505111217499,0.39654597640037537,0.1598549485206604,0.19921875,0.0001382593049850536,0.5593738998286426,0.010246600373648107,70.95992219948675,8.490549599868245,0.12844110024161637,9.51638950034976,79.58915949997026,89.66746187210083,10240,114.1997307184411,128.66073802430122
8,21.008563995361328,0.22734349966049194,0.2700190842151642,0.4037029445171356,0.1688026785850525,0.19453123211860657,0.00013763467989657977,0.5617565999273211,0.010228400002233684,71.05348949949257,8.507623600075021,0.12939970032311976,9.483944299863651,79.70074119989295,89.74871134757996,10240,114.09634574408982,128.48061192201
9,20.89373779296875,0.22716005146503448,0.26313698291778564,0.38983654975891113,0.16442102193832397,0.20742186903953552,0.00013691656052659468,0.5583309000357985,0.010616400395520031,71.06795379985124,8.515854799421504,0.13149220030754805,9.507155600353144,79.72591719997581,89.79355478286743,10240,114.0393653504604,128.4400400727294
10,20.95560646057129,0.22713136672973633,0.2652113139629364,0.37598907947540283,0.16414210200309753,0.20058593153953552,0.0001361060541631165,0.6208023007493466,0.010006799944676459,70.942265199963,8.469893400091678,0.12857400067150593,9.512704999302514,79.55073940067086,89.6865725517273,10240,114.17539670271172,128.7228764578101
