method,dir,target_style,count,raw_fid,source_lpips,artfid,note
IDT,identity,ALL,750,215.5097142982339,0.0,216.5097142982339,
IDT,identity,Early_Renaissance,150,207.3910908709256,0.0,208.3910908709256,
IDT,identity,Impressionism,150,213.72424020484232,0.0,214.72424020484232,
IDT,identity,Minimalism,150,208.0670568644781,0.0,209.0670568644781,
IDT,identity,Rococo,150,223.85634535863025,0.0,224.85634535863025,
IDT,identity,Ukiyo_e,150,224.50983819229324,0.0,225.50983819229324,
WEAVE,weave_oriented_e4,ALL,750,230.5231168507965,0.28312917053699493,295.26794315341783,
WEAVE,weave_oriented_e4,Early_Renaissance,150,233.13904900183957,0.248749777674675,292.381085386007,
WEAVE,weave_oriented_e4,Impressionism,150,231.67964263874532,0.2409486323595047,288.7434843104493,
WEAVE,weave_oriented_e4,Minimalism,150,184.73162689814052,0.4322406053543091,266.01237774203344,
WEAVE,weave_oriented_e4,Rococo,150,271.240300466185,0.23316369950771332,335.7168560779721,
WEAVE,weave_oriented_e4,Ukiyo_e,150,231.82496524907202,0.2605431377887726,293.48591225062717,
SaMam,samam,ALL,750,231.86685240245805,0.2828415870666504,297.31591836710044,
SaMam,samam,Early_Renaissance,150,224.33773031777383,0.2894139587879181,290.553614913325,
SaMam,samam,Impressionism,150,236.54106209752362,0.2138991504907608,288.350893486857,
SaMam,samam,Minimalism,150,182.9165239471425,0.37779706716537476,253.39964729762337,
SaMam,samam,Rococo,150,272.3066236786434,0.22483040392398834,334.7542622754143,
SaMam,samam,Ukiyo_e,150,243.232321971207,0.30826735496520996,319.5211738622825,
Seedream 4.5,seedream,ALL,720,217.37362264146128,0.4215487360954285,310.97300711488043,
Seedream 4.5,seedream,Early_Renaissance,144,233.96639309210326,0.40509283542633057,330.14959549968114,
Seedream 4.5,seedream,Impressionism,144,222.77504740575293,0.3240794539451599,296.29594257556164,
Seedream 4.5,seedream,Minimalism,144,152.03777682363597,0.4766620993614197,225.9850848059947,
Seedream 4.5,seedream,Rococo,144,308.59232648569593,0.4929918646812439,462.21882481088363,
Seedream 4.5,seedream,Ukiyo_e,144,169.49656940011832,0.4089174270629883,240.21558788228091,
Z-STAR,zstar,ALL,750,251.9887277118649,0.3212321221828461,332.91118562415176,
Z-STAR,zstar,Early_Renaissance,150,266.40195985044835,0.3220628499984741,353.5221971350613,
Z-STAR,zstar,Impressionism,150,256.3232111266284,0.29722830653190613,333.8069534011483,
Z-STAR,zstar,Minimalism,150,177.87463023439844,0.37114694714546204,245.26340316766877,
Z-STAR,zstar,Rococo,150,323.50758589145914,0.28280767798423767,416.2808227456933,
Z-STAR,zstar,Ukiyo_e,150,235.83625145639013,0.3329148292541504,315.6825516711873,
StyleAligned,stylealigned,ALL,750,202.67022096207378,0.821774160861969,368.6292855115675,
StyleAligned,stylealigned,Early_Renaissance,150,235.31304425542464,0.7098197340965271,404.052706492351,
StyleAligned,stylealigned,Impressionism,150,198.4027253463245,0.8545184135437012,369.7960258655561,
StyleAligned,stylealigned,Minimalism,150,163.28352861144802,0.9847489595413208,326.0615624813483,
StyleAligned,stylealigned,Rococo,150,292.93152958717246,0.7717222571372986,520.7650330440039,
StyleAligned,stylealigned,Ukiyo_e,150,123.42027700999932,0.7880614399909973,222.47109967457817,
