epoch,loss,semigroup,swd,identity,identity_ratio,delta_l1,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,15.357400894165039,0.0,0.2507028877735138,0.0,0.20205079019069672,0.0,0.0,0.0,0.0,0.0,0.00023,0.7179546000115806,0.014410000025236513,67.79662869997992,14.039852500005509,0.640825100002985,9.846670999977505,82.49171630001365,93.06217694282532,10240,110.03396155552171,124.13367619553705
2,14.195269584655762,0.0,0.2322455495595932,0.0,0.20400391519069672,0.0,0.0,0.0,0.0,0.0,0.00022997730073964648,0.7060320999880787,0.014665499977127183,54.672001699975226,4.359764599998016,0.22708409996994305,8.483527500102355,59.27351589992031,68.46491146087646,10240,149.56566482747206,172.75843763493987
3,13.735167503356934,0.0,0.2247275412082672,0.0,0.20283202826976776,0.0,0.0,0.0,0.0,0.0,0.00022990921291523182,0.697815100022126,0.014397200029634405,53.564880800004175,4.298003900003096,0.18186259999492904,8.504502299954765,58.059144500031834,67.26391553878784,10240,152.2361569048874,176.37187196229502
4,13.565444946289062,0.0,0.222032830119133,0.0,0.20126953721046448,0.0,0.0,0.0,0.0,0.0,0.00022979576639232604,0.7762634999962756,0.014516399998683482,53.378972400008934,4.283137399987027,0.2046449999907054,8.524687000041013,57.88127119998535,67.18460893630981,10240,152.41586074732376,176.9138753815516
5,13.227314949035645,0.0,0.21656791865825653,0.0,0.20097656548023224,0.0,0.0,0.0,0.0,0.0,0.0002296370109323236,0.7175271999876713,0.01478569996834267,55.15734680000605,4.418295400028001,0.2618009999714559,8.964636500058987,59.85222889997385,69.53700494766235,10240,147.2597217511342,171.0880311093055
6,12.954978942871094,0.0,0.2120867222547531,0.0,0.19882813096046448,0.0,0.0,0.0,0.0,0.0,0.0002294330161706162,0.6857902999909129,0.013113299981341697,53.40387819997704,4.363493900011235,0.1855280000163475,8.455405799999426,57.96601339998597,67.10933828353882,10240,152.58681223670715,176.6552398444306
7,12.890231132507324,0.0,0.21099944412708282,0.0,0.19921875,0.0,0.0,0.0,0.0,0.0,0.0002291838715860484,0.6881011999794282,0.013874299977032933,53.36622799996985,4.384407200021087,0.17685279999568593,8.465485500033537,57.94136229996366,67.09709548950195,10240,152.6146538131767,176.7303976559492
8,12.63382625579834,0.0,0.20673954486846924,0.0,0.19453124701976776,0.0,0.0,0.0,0.0,0.0,0.00022888968646166922,0.6959565000361181,0.014419200000702403,53.3340554000024,4.382117699991795,0.18002039998827968,8.452655500004767,57.910612699983176,67.06147503852844,10240,152.69571678995834,176.8242386425826
9,12.632492065429688,0.0,0.2067810297012329,0.0,0.20742188394069672,0.0,0.0,0.0,0.0,0.0,0.0002285505898367972,0.7598030000226572,0.01372030000493396,53.284195600012026,4.388053099995886,0.17180309999821475,8.441075799993996,57.85777210001106,67.06136441230774,10240,152.69596868089755,176.98572945912036
10,12.631153106689453,0.0,0.20664548873901367,0.0,0.20058594644069672,0.0,0.0,0.0,0.0,0.0,0.0002281667304504192,0.690528200022527,0.014204699975380208,54.15308790000563,4.390732200037746,0.2004702999984147,8.414561399978993,58.75849510001717,67.86597323417664,10240,150.88562812863688,174.27267295681654
