name,axis,label,status,transfer_clip_style,transfer_content_lpips,allpairs_clip_style,allpairs_content_lpips,identity_clip_style,identity_content_lpips
X01_euler,solver,Euler (1st-order),OK,0.6936449406544367,0.3516184341166666,0.7214043818314869,0.33783592348666663,0.8324421465396881,0.28270588096666666
X02_rk4,solver,RK4 (4th-order),OK,0.6937344185511269,0.3423831703566667,0.7221683522860209,0.329207821592,0.8359040872255961,0.27650642653333335
X03_steps_1,solver,1 step,OK,0.6970678414901098,0.36093636376,0.7231276659965515,0.3499205028000001,0.8273669640223185,0.30585705896
X04_steps_32,solver,32 steps,OK,0.6937772170702616,0.34205840695,0.7222661333084106,0.32897545594666666,0.8362217982610067,0.27664365193333335
X05_corrector_4,solver,Corrector x4,OK,0.6940719463427862,0.3424298805516667,0.7225454784234365,0.32913309900133336,0.8364396067460378,0.27594597280000005
X06_no_spectral_ode,spectral,No spectral ODE,OK,0.693869980374972,0.3415883487533334,0.7223300549983978,0.3284937279693333,0.8361703534921011,0.27611524483333333
X07_spectral_levels_4,spectral,4 DWT levels,OK,0.6938729234536489,0.3418388893416666,0.7222867438793183,0.32873030451333335,0.8359420255819957,0.2762959652
X08_spectral_levels_5,spectral,5 DWT levels,OK,0.6937819488843282,0.34259768392500006,0.7221968897978465,0.32940341716666666,0.8358566534519195,0.2766263501333333
X09_lowpass_avg,spectral,Lowpass=avg,OK,0.6937588724493982,0.34258153677333336,0.722224619468053,0.32935034940533336,0.8360876075426737,0.2764255999333334
X10_w_ll_0,spectral,w_ll=0,OK,0.6775844580928484,0.3012223003333333,0.7100332732200623,0.29518281834533333,0.8398285337289174,0.27102489039333333
X11_w_hh_3x,spectral,w_hh=3x,OK,0.6896886127193769,0.3331714806883333,0.7198367643356324,0.319421451204,0.8404293708006539,0.2644213332666667
X12_adain_0,adain,AdaIN=0,OK,0.6771391920248667,0.33876520548166666,0.7060111770629882,0.33326668049200003,0.8214991172154745,0.3112725805333333
X13_adain_4x,adain,AdaIN=4x,OK,0.7016676742831865,0.6632715821166666,0.7193544982274374,0.6461058592266667,0.7901017940044402,0.5774429676666667
X14_adain_every_step,adain,AdaIN every step,OK,0.6986922351519267,0.35765983225666664,0.7262799442609151,0.342632217632,0.836630780696869,0.28252175913333333
X15_lowpass_1,adain,Lowpass=1,OK,0.6935258793830872,0.342560293965,0.7219759458700815,0.32934275395999996,0.8357762118180594,0.27647259394
X16_lowpass_5,adain,Lowpass=5,OK,0.6937334927916526,0.34232697345999996,0.7221997169653573,0.3292354371346667,0.8360646136601767,0.27686929183333336
X17_velocity_floor_0,bridge,v_floor=0,OK,0.6934476446111997,0.34150351006833335,0.7220612802505494,0.32852438617999996,0.8365158228079478,0.2766078906266667
X18_velocity_floor_0p3,bridge,v_floor=0.3,OK,0.6939301541447639,0.34193612088666664,0.7224055937131247,0.32898831242933324,0.8363073519865672,0.27719707860000004
X19_path_linear,coupling,Linear path,OK,0.6935387353102366,0.34194177004333337,0.7219745273590088,0.32882878616800004,0.8357176955540975,0.2763768506666667
X20_path_slerp,coupling,SLERP path,OK,0.693808831969897,0.3422432181983333,0.7223428640365601,0.3291129485506667,0.8364789923032123,0.27659186995999996
X21_sigma_0,coupling,sigma=0,OK,0.6939215223987898,0.3425069481600001,0.7223964219888052,0.32926588690133335,0.8362960203488667,0.2763016418666667
X22_sigma_0p5,coupling,sigma=0.5,OK,0.6938936271270115,0.34207566261666666,0.7223422122796376,0.3289367942986667,0.8361365528901418,0.2763813210266667
X23_no_target_proj,coupling,No target proj,OK,0.6937646712859472,0.34210106895333336,0.7222349185148874,0.3290490232293333,0.8361159074306487,0.2768408403333333
X24_hungarian,coupling,Hungarian,OK,0.6934592602650324,0.3424451793666667,0.7219529209136963,0.32921394933333337,0.8359275635083516,0.2762890292
X25_no_structure_cost,loss,No structure cost,OK,0.6940625636776288,0.3425573497433333,0.7224238336086273,0.3297951172213333,0.8358689133326213,0.2787461871333333
X26_structure_5x,loss,Structure 5x,OK,0.6939526128768921,0.34242937807499996,0.7223730512460074,0.3292148714946667,0.8360548047224681,0.2763568451733333
X27_sinkhorn_eps_0p5,loss,Sinkhorn eps=0.5,OK,0.69381434182326,0.34247483929666667,0.7222187271912891,0.3293036371786667,0.8358362686634063,0.2766188287066667
X28_sinkhorn_iters_10,loss,Sinkhorn iters=10,OK,0.6939379134774207,0.34195843251499997,0.7224029637177785,0.3290459955200001,0.8362631646792094,0.27739624754000003
X29_no_content_loss,loss,No content loss,OK,0.6938078133265176,0.34260628001499993,0.7222953798770904,0.3294096936653334,0.8362456460793813,0.2766233482666667
