experiment,clip_style,content_lpips,metric_surface,dataset,method,variant,selection,train_batch,train_epochs,full_clip_style,full_content_lpips,delta_idt_transfer,train_wall,status,decision,source_csv,evidence_path
distinct5_512__LBM__A1_executor_promotion_h,0.6642,0.3418,transfer,distinct5_512,LBM,mainline_improvement,epoch_0002_transfer__epoch_0003_transfer,,,,,,3 epochs + repaired full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-executor-promotion-closure.md
distinct5_512__LBM__A2_softterm16_sem012,0.6645,0.3281,transfer,distinct5_512,LBM,mainline_improvement,epoch_0001_transfer__epoch_0001_lpips,,,,,,3 epochs + full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-a2-softening-queue.md
distinct5_512__LBM__A2_softterm18_sem010,0.6656,0.3363,transfer,distinct5_512,LBM,mainline_improvement,epoch_0001_transfer__epoch_0001_lpips,,,,,,3 epochs + full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-a2-softening-queue.md
distinct5_512__LBM__A2_softterm18_sem012,0.6651,0.3385,transfer,distinct5_512,LBM,mainline_improvement,epoch_0001_transfer__epoch_0001_lpips,,,,,,3 epochs + full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-a2-softening-queue.md
distinct5_512__LBM__C1_pairing_cache_randompair,0.6563,0.4629,transfer,distinct5_512,LBM,reviewer_control,epoch_0001_transfer__epoch_0002_transfer,,,,,,2 epochs + repaired full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-pairing-cache-sensitivity-packet.md
distinct5_512__LBM__C2_projection_count_sem32,0.6641,0.3336,transfer,distinct5_512,LBM,reviewer_control,epoch_0001_transfer__epoch_0002_transfer,,,,,,2 epochs + repaired full eval closure on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-projection-count-sensitivity-packet.md
distinct5_512__LBM__F_e1,0.6643604031,0.3245282069,transfer,distinct5_512,LBM,F_e1,F_e1,,,0.6969145075,0.3186446404,0.0244379414,1.2161,closed,closed,2026-06-04-distinct5_same_cost_inventory.csv,config=SchrodingerBridge/configs/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote/full_eval/epoch_0001
distinct5_512__LBM__F_longer_e8,0.6658,0.3397,transfer,distinct5_512,LBM,mainline_improvement,epoch_0001_transfer__epoch_0008_style,,,,,0.0258,8 epochs + full eval closure on remote 3060,completed,drop,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-distinct5-longer-training-closure.md
distinct5_512__LBM__H_base__endpoint_metric_huber__seed42,0.6928812635,0.3556942509,reported,distinct5_512,LBM,metric_validation,epoch_0001,,,,,,completed repaired packet; train and full-eval complete on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_huber_seed42.json
distinct5_512__LBM__H_base__endpoint_metric_l1__seed42,0.6910941314,0.3552152437,reported,distinct5_512,LBM,metric_validation,epoch_0003,,,,,,completed repaired packet; train and full-eval complete on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_l1_seed42.json
