batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\stytr2\checkpoints\stytr2,143.455,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\stytr2\logs\stytr2_train.log,500,0,train,ok
,,567.371,750,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\stytr2\infer_750\images,,,,infer,ok
