epoch,loss,flow,kinetic_energy,kinetic_low_band,kinetic_high_band,curvature,ot_cost,terminal_swd,terminal_swd_aux,aux_target_ratio,content_lowpass_anchor,content_edge_anchor,semantic_attn_mean,semantic_k_abs,semantic_topology_attn_entropy,semantic_topology_attn_active,plan_entropy,structured_style_tokenizer_attn_entropy,structured_style_tokenizer_attn_effective_count,structured_style_tokenizer_attn_max,structured_style_tokenizer_attn_top1_mean,structured_style_tokenizer_gate_mean,structured_style_tokenizer_mask_mean,structured_style_tokenizer_spatial_map_abs,structured_style_tokenizer_global_gate_abs,structured_style_tokenizer_translation_delta_from_identity,structured_style_tokenizer_routing_entropy,structured_style_tokenizer_effective_experts,structured_style_tokenizer_spatial_abs,solver_fiber_gate_active,solver_fiber_gate_mean,solver_fiber_gate_rms,solver_noise_scale,solver_isotropic_or_fiber,fiberwise_active_clusters,fiberwise_loss_mean,fiberwise_mask_entropy,output_appearance_active,output_appearance_scale_mean,output_appearance_scale_std,output_appearance_shift_abs,output_appearance_blend,barycentric_entropy,teacher_alignment,teacher_abs,bridge_sigma,bridge_noise_schedule_exact,identity_ratio,t_mean,velocity_abs,endpoint_abs,base_endpoint_abs,final_endpoint_abs,proximal_residual_abs,proximal_clamp_scale,proximal_residual_energy,base_transport_abs,proximal_to_transport_ratio,proximal_trust_penalty,velocity_max,endpoint_max,base_endpoint_max,final_endpoint_max,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,cuda_peak_allocated_gb,cuda_peak_reserved_gb
1,1.0542240142822266,0.6997069120407104,0.0770043358206749,0.0,0.0,0.0,0.06530149281024933,0.015417356044054031,0.0,0.0,0.0,0.0,0.0009765625,0.07105714082717896,1.1464321613311768,1.0,0.8936841487884521,1.3252739906311035,3.7923238277435303,0.9988610744476318,0.6840162873268127,0.6176067590713501,0.6840162873268127,0.02220640704035759,0.062113482505083084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.20169858634471893,0.5048850774765015,0.7683064341545105,0.5525429844856262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.7979581209999438,126.83309171299997,5.54687131400005,3.4037790500000114,135.78374207700006,148.27129793167114,1884,12.70643763345362,4.9106035232543945,5.89453125
2,1.0548746585845947,0.6965258717536926,0.07858855277299881,0.0,0.0,0.0,0.06574670970439911,0.015542223118245602,0.0,0.0,0.0,0.0,0.0009765625,0.07102886587381363,1.2286990880966187,1.0,0.8937895894050598,1.4824904203414917,4.430368900299072,0.998803973197937,0.6471382975578308,0.5722436308860779,0.6471382975578308,0.022204075008630753,0.061993714421987534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.18842889368534088,0.5087053179740906,0.7691567540168762,0.5565846562385559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001872724133595217,1.3916223990000276,122.96216262299947,4.105406202999404,17.154855698999143,144.22242452499802,148.88080406188965,1884,12.654418491834733,4.909215927124023,5.708984375
3,1.0495233535766602,0.6884620785713196,0.08150877058506012,0.0,0.0,0.0,0.06540080904960632,0.015530696138739586,0.0,0.0,0.0,0.0,0.0009765625,0.07100360840559006,1.2215721607208252,1.0,0.8936563730239868,1.484191656112671,4.476685523986816,0.9985878467559814,0.6418735384941101,0.5717529654502869,0.6418735384941101,0.021959995850920677,0.06094447895884514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.21231429278850555,0.4957859218120575,0.7691491842269897,0.559407651424408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015250000000000002,1.8907372670001905,121.1348845390005,4.009463245999882,17.0123451300002,142.15669291500058,147.25822639465332,1884,12.793852310504295,4.910163402557373,5.703125
