label,run,evidence_scope,transfer_clip_style,transfer_lpips,introstyle_target_score,introstyle_delta_idt,introstyle_margin,dino_structure,vlm_cases_completed,vlm_wins,vlm_style_wins,vlm_structure_wins,vlm_artifact_wins,vlm_mean_style,vlm_mean_structure,vlm_mean_artifact,current_read,evidence_path
LBM-Knee,LBM-Knee_e13,full750_introstyle_dino+vlm,,,0.10726926540335019,0.00804409680888056,-0.03727678508808215,0.02171186416161537,713,0,0,35,23,2.0546984572230014,3.3043478260869565,2.4165497896213184,current_internal_balanced_anchor,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\local_eval\lbm_knee_e13_artfid\metrics.csv
Seedream-4.5,Seedream_repaired750,full750_introstyle_dino+vlm,,,0.12009318043167393,0.020868011837204298,-0.034693659426023565,0.029102527983486653,713,709,708,673,685,4.948106591865358,4.918653576437587,4.948106591865358,external_style_ceiling,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\seedream45_api\distinct5_512_seedream45_windhub_20260607_repaired750\metrics.csv
LBM-PS-v2,LBM-PS-v2_e13,full750_introstyle_dino+vlm,,,0.09933874012902379,0.0001135715345541577,-0.03260264992093047,0.030254121124744415,713,3,4,4,4,1.5301542776998598,2.1220196353436185,1.338008415147265,style_heavy_but_downgraded_under_nonclip,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\local_eval\pattn_stokes002_e13\metrics.csv
LBM-K,LBM-K_e1,full750_introstyle_dino,,,0.10768778150280317,0.008462612908333542,-0.05096789815773566,0.025102051765968404,,,,,,,,,older_internal_anchor,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\metrics.csv
SaMST e15,SaMST_e15,full750_introstyle_dino,,,0.10178794259826342,0.0025627740037937885,-0.07054136899610361,0.017191424209314087,,,,,,,,,pixel_baseline_negative_vs_seedream_but_real_style_signal,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\metrics.csv
QEdgePattn e01,epoch_0001,image_backed_vlm_triplet,0.7047477345665296,0.4519462343833334,,,0.026349316882407107,584,23,21,45,61,2.6986301369863015,3.73972602739726,3.219178082191781,positive_over_knee_but_far_from_seedream; first_bestfew_dino_landed,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\qedgegated_pattn_bestfew_localreview_20260609\full_eval_fresh_localreview_bestfew_dino.csv
QEdgePattn e03,epoch_0011_family_style_point,image_backed_vlm_triplet,0.7105514151851337,0.5073167972,,,,,609,18,16,20,33,2.7077175697865354,3.599343185550082,2.9638752052545154,broader_evidence_but_still_far_from_seedream; bestfew_dino_pending,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\qedgegated_pattn_bestfew_localreview_20260609\full_eval_fresh_localreview_bestfew_handoff.csv
DualPathFresh e01,epoch_0001,image_backed_vlm_triplet,0.6925298509995143,0.4035554396666667,,,0.026349316882407107,252,15,12,23,31,2.9563492063492065,3.865079365079365,3.25,safer_all_around_dualpath_point_above_knee_but_far_from_seedream; corrected_bestfew_dino_landed,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dualpath_bestfew_localreview_20260609\full_eval_fresh_localreview_bestfew_dino.csv
DualPathFresh e09,epoch_0009,image_backed_vlm_triplet,0.6925850228468576,0.43854939118333336,,,,0.02741835827770449,130,6,5,2,4,2.9,3.6384615384615384,2.746153846153846,style_leaning_dualpath_probe_not_yet_family_anchor; bestfew_dino_landed,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dualpath_bestfew_localreview_20260609\full_eval_fresh_localreview_bestfew_handoff.csv

