metric,init_value,checkpoint_value,checkpoint_minus_init,checkpoint_over_init,init_bucket,checkpoint_bucket,transition
matched_target_spatial_forward_delta,0.01456026267260313,0.008008348755538464,-0.006551913917064667,0.5500140303517412,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
matched_target_code_forward_delta,0.002208859659731388,0.0005139658460393548,-0.0016948938136920333,0.23268379399977654,moderate_runtime_lever,weak_runtime_lever,trained_suppression
matched_target_both_forward_delta,0.015557805076241493,0.01114229578524828,-0.004415509290993214,0.7161868740895726,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
topology_gate1_blend_effect_delta,0.01519033219665289,0.019970430061221123,0.0047800978645682335,1.3146802718127193,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
anatomy_code_only_delta,0.002208859659731388,0.0005139658460393548,-0.0016948938136920333,0.23268379399977654,moderate_runtime_lever,weak_runtime_lever,trained_suppression
anatomy_spatial_delta,0.01456026267260313,0.008008348755538464,-0.006551913917064667,0.5500140303517412,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
styleid_max_forward_pair_delta,0.010018897242844105,0.005202573258429766,-0.004816323984414339,0.519276037304969,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
styleid_mean_forward_pair_delta,0.007826646370813251,0.003910074732266367,-0.003916571638546884,0.4995849495446258,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
styleid_max_body_pair_delta,0.05914413183927536,0.12987083196640015,0.07072670012712479,2.195836305777979,strong_runtime_lever,strong_runtime_lever,trained_amplification
styleid_mean_body_pair_delta,0.050367044284939766,0.10713735073804856,0.05677030645310879,2.127131982014749,strong_runtime_lever,strong_runtime_lever,trained_amplification
styleid_max_delta_pair_delta,0.010018897242844105,0.005202573258429766,-0.004816323984414339,0.519276037304969,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
styleid_mean_delta_pair_delta,0.007826646370813251,0.003910074732266367,-0.003916571638546884,0.4995849495446258,moderate_runtime_lever,moderate_runtime_lever,roughly_stable
