epoch,loss,flow,kinetic_energy,ot_cost,terminal_swd,color,repulsive,plan_entropy,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,8.976705551147461,0.18875651061534882,0.37751302123069763,0.0,3.6661500930786133,4.833041667938232,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.33203125,0.5428456664085388,0.0003,3.1866130999696907,78.33457430000999,8.848678500129608,0.20932099991478026,87.39257380005438,103.27306818962097,10240,99.15460225504492
2,8.3162841796875,0.2131425142288208,0.4262850284576416,0.0,3.4454498291015625,4.344548225402832,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.357421875,0.5269724726676941,0.00029997397746507875,0.1057011999655515,18.285987899900647,3.4177794998977333,0.18945430009625852,21.89322169989464,35.08924412727356,10240,291.8273178771848
3,8.161890983581543,0.21957293152809143,0.43914586305618286,0.0,3.357201099395752,4.265542984008789,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.365234375,0.5186020731925964,0.00029989591989249757,0.10384130000602454,18.301671299908776,3.4189131000021007,0.19426240009488538,21.914846800005762,35.132211208343506,10240,291.47040985476355
4,8.084275245666504,0.22207944095134735,0.4441588819026947,0.0,3.3170316219329834,4.223083972930908,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.3671875,0.5159212350845337,0.00029976585737493663,0.09940010006539524,18.329840900056297,3.4287380998721346,0.19905429994105361,21.957633299869485,35.167521476745605,10240,291.1777563503064
5,8.03928279876709,0.23058781027793884,0.4611756205558777,0.0,3.2852466106414795,4.192862033843994,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.37109375,0.5143081545829773,0.00029958384005397226,0.0991644999012351,18.313535000022966,3.4029097999737132,0.1979338001110591,21.91437860010774,35.14561223983765,10240,291.35927210830977
6,7.997916221618652,0.2361232340335846,0.4722464680671692,0.0,3.260272264480591,4.165397644042969,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.373046875,0.5125459432601929,0.0002993499381007466,0.0995013001083862,18.2861899001,3.3891658000065945,0.19069459996535443,21.866050300071947,35.117289304733276,10240,291.5942603411535
7,7.960613250732422,0.24025395512580872,0.48050791025161743,0.0,3.2382314205169678,4.141872882843018,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.375,0.5117729902267456,0.00029906424168891506,0.10433849989203736,18.35294990008697,3.4383113999210764,0.19282020002719946,21.984081500035245,35.195034980773926,10240,290.95012991445606
8,7.927603244781494,0.2441919595003128,0.4883839190006256,0.0,3.2161526679992676,4.123064994812012,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.375,0.5104084610939026,0.0002987268609598829,0.09930500012706034,18.282267599977786,3.394157000060659,0.19233339998754673,21.86875800002599,35.10927724838257,10240,291.6608031420453
9,7.898104667663574,0.24986563622951508,0.49973127245903015,0.0,3.198009729385376,4.100363731384277,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.376953125,0.5100168585777283,0.0002983379259803436,0.11150869989069179,18.300087499956135,3.4262825999758206,0.19316419996903278,21.919534299900988,35.14416289329529,10240,291.3712877751759
10,7.863410472869873,0.25256264209747314,0.5051252841949463,0.0,3.1810669898986816,4.077216148376465,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.37890625,0.5092869400978088,0.00029789758669213534,0.10266460021375678,18.323942100076238,3.415115699986927,0.1953994000214152,21.93445720008458,35.17449140548706,10240,291.1200586230113
11,7.833827972412109,0.2551296055316925,0.510259211063385,0.0,3.1618709564208984,4.061696529388428,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.37890625,0.509529173374176,0.0002974060128544361,0.10468429999309592,18.313265300006606,3.3774732999154367,0.19399570004316047,21.884734299965203,35.17118239402771,10240,291.1474480806428
