id,label,purpose,config,save_dir,status,train_sec,eval_status,eval_sec,checkpoint
D0_full_correct_7ep,Full control from corrected config,7-epoch control using S-add__K-1_C-0_W-20_Col-0/config.json without model/loss changes.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D0_full_correct_7ep.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep,ok,290.650,ok,60.034,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\epoch_0007.pt
D1_no_terminal_swd,w/o terminal SWD,Destructive removal of endpoint style-distribution matching.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D1_no_terminal_swd.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd,ok,295.935,ok,63.630,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\epoch_0007.pt
D2_no_kinetic,w/o kinetic,Destructive removal of flow regularization/content-stability pressure.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D2_no_kinetic.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic,ok,303.312,ok,64.423,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\epoch_0007.pt
D3_no_swd_no_kinetic,w/o SWD and kinetic,Strong negative control: remove both style distribution endpoint and trajectory regularization.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D3_no_swd_no_kinetic.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic,ok,306.550,ok,60.567,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\epoch_0007.pt
D4_conv_body_no_global_attn,"conv body, no global attention",Destructive architecture ablation replacing the global-attention body with convolutional blocks.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D4_conv_body_no_global_attn.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn,ok,295.498,ok,78.771,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\epoch_0007.pt
D5_disable_skip_routing,disable routed skip path,Destructive removal of the routed skip pathway that carries clean structure.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D5_disable_skip_routing.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing,ok,294.609,ok,61.995,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\epoch_0007.pt
D6_disable_spatial_prior,disable spatial style prior,Destructive removal of the spatial prior used by the style-conditioned model.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D6_disable_spatial_prior.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior,ok,305.783,ok,61.803,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\epoch_0007.pt
D7_no_residual_path,no residual path,Destructive model ablation disabling the learned residual update path.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D7_no_residual_path.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path,ok,304.251,ok,61.887,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\epoch_0007.pt
D8_strong_color_loss,strong color loss,Strong negative control for naive color matching that previously harmed content.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D8_strong_color_loss.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss,ok,308.588,ok,60.987,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\epoch_0007.pt
D9_l2_ot_cost,L2 matching cost,Replace SWD-based matching cost with global latent L2 cost.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D9_l2_ot_cost.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost,ok,311.098,ok,59.323,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\epoch_0007.pt
D10_micro_hf_swd_trap,micro high-frequency SWD,Stress test: force SWD toward tiny high-frequency patches to expose grain/noise tendencies.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D10_micro_hf_swd_trap.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap,ok,302.119,ok,59.399,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap\epoch_0007.pt
D11_single_terminal_step,single terminal step,Collapse endpoint matching from four terminal steps to one to test endpoint optimization strength.,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\configs\D11_single_terminal_step.json,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step,ok,298.565,ok,59.904,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step\epoch_0007.pt
