epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,prob,prob_margin,prob_weight_mean,cls_target_prob,cls_hard_ratio,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,8.838461637496948,0.0,0.0,0.0,0.0,0.0,0.0,0.6890968263149262,1.04478060901165,2.7091999411582948,0.2265577796846628,0.9530000030994416,0.7954676359891891,0.0,0.1489999983459711,-0.5468844413757324,0.003276824951171875,0.003276824951171875,0.0,0.08789934264495969,0.0,0.0,0.0,0.0,0.045124086923897265,6.0,0.0,0.10000000149011612,0.0,1.0,0.0002,14.629916906356812
2,6.982098078727722,0.0,0.0,0.0,0.0,0.0,0.0,0.5209978759288788,0.8253657519817352,2.594499969482422,0.4620176374912262,0.844499996304512,0.44735722094774244,0.0,0.45150000154972075,-0.07596472539007663,-0.103955078125,-0.103955078125,0.0,0.12773377485573292,0.0,0.0,0.0,0.0,0.07021133806556464,6.0,0.0,0.10000000149011612,0.0,1.0,0.0001997071467046472,10.753565073013306
3,4.599137663841248,0.0,0.0,0.0,0.0,0.0,0.0,0.31202123165130613,0.5232261851429939,2.655549955368042,0.604082465171814,0.7360000014305115,0.24699217155575753,0.0,0.619499996304512,0.20816493916790932,-0.197216796875,-0.197216796875,0.0,0.12887721918523312,0.0,0.0,0.0,0.0,0.08793881423771381,6.0,0.0,0.10000000149011612,0.0,1.0,0.00019883039235653812,7.534009218215942
4,2.40845929980278,0.0,0.0,0.0,0.0,0.0,0.0,0.16413109079003335,0.26029387190937997,2.6573999881744386,0.7197258651256562,0.6009999886155128,0.11226678602397441,0.0,0.8199999958276749,0.4394517332315445,-0.27392578125,-0.27392578125,0.0,0.08036108016967773,0.0,0.0,0.0,0.0,0.12111396454274655,6.0,0.0,0.10000000149011612,0.0,1.0,0.0001973751424377793,7.493261098861694
5,1.0620933800935746,0.0,0.0,0.0,0.0,0.0,0.0,0.0655685106292367,0.09013780318200589,2.594499957561493,0.8027235597372055,0.49500000178813935,0.0360222031828016,0.0,0.9275000005960464,0.6054471388459206,-0.27890625,-0.27890625,0.0,0.05973343700170517,0.0,0.0,0.0,0.0,0.14549539759755134,6.0,0.0,0.10000000149011612,0.0,1.0,0.0001953503690480396,7.515800952911377
6,0.5363524004817009,0.0,0.0,0.0,0.0,0.0,0.0,0.029478687234222888,0.02218734152847901,2.6851500272750854,0.834270852804184,0.5034999966621398,0.005976985470624641,0.0,0.9895000070333481,0.668541693687439,-0.28203125,-0.28203125,0.0,0.05157561507076025,0.0,0.0,0.0,0.0,0.14914782121777534,6.0,0.0,0.10000000149011612,0.0,1.0,0.00019276855558857225,10.722225666046143
7,0.3315924987196922,0.0,0.0,0.0,0.0,0.0,0.0,0.019330710731446744,0.0026127054559765385,2.6981000185012816,0.8504813551902771,0.4589999958872795,0.0002483877411577851,0.0,1.0,0.7009627282619476,-0.2751953125,-0.2751953125,0.0,0.03956123646348715,0.0,0.0,0.0,0.0,0.14437839537858962,6.0,0.0,0.10000000149011612,0.0,1.0,0.00018964561979789495,7.5395684242248535
8,0.23765887767076493,0.0,0.0,0.0,0.0,0.0,0.0,0.014352533873170615,0.00030837953090667725,2.6277999758720396,0.8652711808681488,0.4014999955892563,3.39814811013639e-05,0.0,1.0,0.7305423796176911,-0.26728515625,-0.26728515625,0.0,0.028513093944638968,0.0,0.0,0.0,0.0,0.14907763451337813,6.0,0.0,0.10000000149011612,0.0,1.0,0.00018600081561363877,7.469336032867432
9,0.18123770579695703,0.0,0.0,0.0,0.0,0.0,0.0,0.010364433703944086,0.0,2.6758999586105348,0.8783088386058807,0.3080000050365925,0.0,0.0,1.0,0.7566176563501358,-0.2623046875,-0.2623046875,0.0,0.0216632685624063,0.0,0.0,0.0,0.0,0.1498257778584957,6.0,0.0,0.10000000149011612,0.0,1.0,0.00018185661446562003,7.487281799316406
10,0.15887403041124343,0.0,0.0,0.0,0.0,0.0,0.0,0.008920895331539214,0.0,2.633349967002869,0.8857971996068954,0.267000000923872,0.0,0.0,1.0,0.7715943902730942,-0.2640625,-0.2640625,0.0,0.01878314670175314,0.0,0.0,0.0,0.0,0.14952016100287438,6.0,0.0,0.10000000149011612,0.0,1.0,0.00017723856673200296,10.75184965133667
11,0.13309205025434495,0.0,0.0,0.0,0.0,0.0,0.0,0.007478273310698569,0.0,2.62224999666214,0.8941822707653045,0.1859999991953373,0.0,0.0,1.0,0.7883645504713058,-0.2638671875,-0.2638671875,0.0,0.015323675889521837,0.0,0.0,0.0,0.0,0.14976038113236428,6.0,0.0,0.10000000149011612,0.0,1.0,0.00017217514421272203,7.653931140899658
12,0.11494685672223567,0.0,0.0,0.0,0.0,0.0,0.0,0.006446447502821684,0.0,2.5963499546051025,0.9009856581687927,0.16250000111758708,0.0,0.0,1.0,0.8019713133573532,-0.263671875,-0.263671875,0.0,0.012932340940460562,0.0,0.0,0.0,0.0,0.14790243580937384,6.0,0.0,0.10000000149011612,0.0,1.0,0.0001666975645913675,7.457134962081909
13,0.11111177392303943,0.0,0.0,0.0,0.0,0.0,0.0,0.005905528459697962,0.0,2.7609999775886536,0.9032611966133117,0.16650000028312206,0.0,0.0,1.0,0.8065224111080169,-0.2638671875,-0.2638671875,0.0,0.012647471763193608,0.0,0.0,0.0,0.0,0.14557592794299126,6.0,0.0,0.10000000149011612,0.0,1.0,0.00016083959896778498,7.451933860778809
14,0.09652490615844726,0.0,0.0,0.0,0.0,0.0,0.0,0.0053178979316726325,0.0,2.6444500207901003,0.9083643913269043,0.13150000013411045,0.0,0.0,1.0,0.8167287826538085,-0.265625,-0.265625,0.0,0.010593751398846506,0.0,0.0,0.0,0.0,0.14349755197763442,6.0,0.0,0.10000000149011612,0.0,1.0,0.00015463736364801516,10.767993211746216
15,0.0879336480051279,0.0,0.0,0.0,0.0,0.0,0.0,0.0047493766527622935,0.0,2.6351999759674074,0.9139548689126968,0.11699999906122685,0.0,0.0,1.0,0.8279097586870193,-0.2662109375,-0.2662109375,0.0,0.009540170803666115,0.0,0.0,0.0,0.0,0.14069803953170776,6.0,0.0,0.10000000149011612,0.0,1.0,0.00014812909747525697,7.735507011413574
16,0.0818858951330185,0.0,0.0,0.0,0.0,0.0,0.0,0.004549428622703999,0.0,2.609299969673157,0.9146204233169556,0.1114999994635582,0.0,0.0,1.0,0.82924083173275,-0.267578125,-0.267578125,0.0,0.008683102205395699,0.0,0.0,0.0,0.0,0.13864281103014947,6.0,0.0,0.10000000149011612,0.0,1.0,0.00014135492607468357,7.464524745941162
17,0.07764369361102581,0.0,0.0,0.0,0.0,0.0,0.0,0.004198711540084332,0.0,2.6148499965667726,0.9176899641752243,0.08649999927729368,0.0,0.0,1.0,0.8353799402713775,-0.267578125,-0.267578125,0.0,0.008189425989985465,0.0,0.0,0.0,0.0,0.1381164662539959,6.0,0.0,0.10000000149011612,0.0,1.0,0.00013435661446562004,7.452439308166504
18,0.08951150290668011,0.0,0.0,0.0,0.0,0.0,0.0,0.0044577775872312484,0.0,2.7054999470710754,0.9154070466756821,0.10849999990314245,0.0,0.0,1.0,0.8308140635490417,-0.26640625,-0.26640625,0.0,0.010040207765996456,0.0,0.0,0.0,0.0,0.13668035119771957,6.0,0.0,0.10000000149011612,0.0,1.0,0.00012717730956631105,7.500580787658691
19,0.0760950904339552,0.0,0.0,0.0,0.0,0.0,0.0,0.004239631490781904,0.0,2.707349967956543,0.9168382495641708,0.09150000037625432,0.0,0.0,1.0,0.8336765199899674,-0.2650390625,-0.2650390625,0.0,0.007992363465018571,0.0,0.0,0.0,0.0,0.13302198722958564,6.0,0.0,0.10000000149011612,0.0,1.0,0.00011986127417882196,10.870445489883423
20,0.0687829291447997,0.0,0.0,0.0,0.0,0.0,0.0,0.00398995844880119,0.0,2.6092999815940856,0.9192184031009674,0.0859999998472631,0.0,0.0,1.0,0.8384367972612381,-0.263671875,-0.263671875,0.0,0.006933930516242981,0.0,0.0,0.0,0.0,0.13214490935206413,6.0,0.0,0.10000000149011612,0.0,1.0,0.0001124536140941453,7.527227401733398
21,0.06386675704270602,0.0,0.0,0.0,0.0,0.0,0.0,0.00371035598218441,0.0,2.640749967098236,0.9215971410274506,0.0685000004246831,0.0,0.0,1.0,0.8431943148374558,-0.26337890625,-0.26337890625,0.0,0.006342810322530567,0.0,0.0,0.0,0.0,0.12823649048805236,6.0,0.0,0.10000000149011612,0.0,1.0,0.00010500000000000002,7.4669153690338135
22,0.059543813578784466,0.0,0.0,0.0,0.0,0.0,0.0,0.0035533219343051314,0.0,2.6573999881744386,0.9230269581079483,0.0594999996945262,0.0,0.0,1.0,0.8460539400577545,-0.263671875,-0.263671875,0.0,0.005763909849338234,0.0,0.0,0.0,0.0,0.12523727491497993,6.0,0.0,0.10000000149011612,0.0,1.0,9.754638590585476e-05,7.454637050628662
23,0.05576848220080137,0.0,0.0,0.0,0.0,0.0,0.0,0.0032268565963022413,0.0,2.6333500146865845,0.9253396302461624,0.04249999960884452,0.0,0.0,1.0,0.8506792485713959,-0.2634765625,-0.2634765625,0.0,0.005385577166453004,0.0,0.0,0.0,0.0,0.1216102097183466,6.0,0.0,0.10000000149011612,0.0,1.0,9.013872582117811e-05,10.956522941589355
24,0.05178524646908045,0.0,0.0,0.0,0.0,0.0,0.0,0.0031111274962313472,0.0,2.6333499789237975,0.9264645427465439,0.04299999950453639,0.0,0.0,1.0,0.8529291033744812,-0.263671875,-0.263671875,0.0,0.00486047153826803,0.0,0.0,0.0,0.0,0.11733470931649208,6.0,0.0,0.10000000149011612,0.0,1.0,8.282269043368901e-05,7.643010377883911
25,0.048890195041894915,0.0,0.0,0.0,0.0,0.0,0.0,0.0029375601676292717,0.0,2.616699981689453,0.9278286457061767,0.036499999836087225,0.0,0.0,1.0,0.8556573152542114,-0.26513671875,-0.26513671875,0.0,0.004537180764600635,0.0,0.0,0.0,0.0,0.11385649405419826,6.0,0.0,0.10000000149011612,0.0,1.0,7.564338553438001e-05,7.442317485809326
26,0.0520449997857213,0.0,0.0,0.0,0.0,0.0,0.0,0.0028241163701750336,0.0,2.6296499609947204,0.929139107465744,0.023999999463558196,0.0,0.0,1.0,0.8582781881093979,-0.265625,-0.265625,0.0,0.005161239486187697,0.0,0.0,0.0,0.0,0.11193156018853187,6.0,0.0,0.10000000149011612,0.0,1.0,6.864507392531649e-05,7.469900846481323
27,0.049361308105289936,0.0,0.0,0.0,0.0,0.0,0.0,0.002815570996608585,0.0,2.707349944114685,0.9288945317268371,0.02699999948963523,0.0,0.0,1.0,0.8577890634536743,-0.265625,-0.265625,0.0,0.004763296712189913,0.0,0.0,0.0,0.0,0.10927028954029083,6.0,0.0,0.10000000149011612,0.0,1.0,6.187090252474307e-05,10.62474536895752
28,0.04322913996875286,0.0,0.0,0.0,0.0,0.0,0.0,0.0026781587046571078,0.0,2.622249972820282,0.931065121293068,0.02249999959021807,0.0,0.0,1.0,0.8621302515268325,-0.265625,-0.265625,0.0,0.0038636591634713113,0.0,0.0,0.0,0.0,0.10673629455268382,6.0,0.0,0.10000000149011612,0.0,1.0,5.536263635198487e-05,7.596362829208374
29,0.04139220267534256,0.0,0.0,0.0,0.0,0.0,0.0,0.0025327175681013614,0.0,2.6629500150680543,0.9316015273332596,0.012499999720603228,0.0,0.0,1.0,0.8632030338048935,-0.265625,-0.265625,0.0,0.0036756424233317375,0.0,0.0,0.0,0.0,0.10473836921155452,6.0,0.0,0.10000000149011612,0.0,1.0,4.916040103221507e-05,7.44611120223999
30,0.04087381362915039,0.0,0.0,0.0,0.0,0.0,0.0,0.002635410724906251,0.0,2.7036500096321108,0.9305699348449707,0.014499999675899744,0.0,0.0,1.0,0.8611398786306381,-0.265625,-0.265625,0.0,0.0035612344508990645,0.0,0.0,0.0,0.0,0.10282468982040882,6.0,0.0,0.10000000149011612,0.0,1.0,4.330243540863257e-05,7.449917554855347
31,0.04044102672487497,0.0,0.0,0.0,0.0,0.0,0.0,0.0025727643282152713,0.0,2.6573999881744386,0.9316061228513718,0.014499999675899744,0.0,0.0,1.0,0.8632122188806534,-0.265625,-0.265625,0.0,0.003567806456703693,0.0,0.0,0.0,0.0,0.10029512345790863,6.0,0.0,0.10000000149011612,0.0,1.0,3.7824855787278e-05,10.848528146743774
32,0.039302578940987584,0.0,0.0,0.0,0.0,0.0,0.0,0.002573709259741008,0.0,2.670349991321564,0.9316105365753173,0.012999999709427357,0.0,0.0,1.0,0.8632211029529572,-0.265625,-0.265625,0.0,0.0033986158785410227,0.0,0.0,0.0,0.0,0.0990290068089962,6.0,0.0,0.10000000149011612,0.0,1.0,3.276143326799707e-05,7.622223615646362
33,0.03710187394171953,0.0,0.0,0.0,0.0,0.0,0.0,0.002375457837479189,0.0,2.622249937057495,0.933601775765419,0.010499999765306712,0.0,0.0,1.0,0.8672035008668899,-0.265625,-0.265625,0.0,0.003151786222588271,0.0,0.0,0.0,0.0,0.09877054058015347,6.0,0.0,0.10000000149011612,0.0,1.0,2.8143385534380006e-05,7.4479615688323975
34,0.03586214622482657,0.0,0.0,0.0,0.0,0.0,0.0,0.0024107643170282246,0.0,2.701800000667572,0.9326538413763046,0.009499999787658453,0.0,0.0,1.0,0.8653076738119125,-0.265625,-0.265625,0.0,0.002919529948849231,0.0,0.0,0.0,0.0,0.09907291233539581,6.0,0.0,0.10000000149011612,0.0,1.0,2.3999184386361246e-05,7.445895671844482
35,0.03414708897471428,0.0,0.0,0.0,0.0,0.0,0.0,0.002276779303792864,0.0,2.6629500150680543,0.934654638171196,0.008499999810010195,0.0,0.0,1.0,0.869309276342392,-0.265625,-0.265625,0.0,0.002758221537806094,0.0,0.0,0.0,0.0,0.09629032127559185,6.0,0.0,0.10000000149011612,0.0,1.0,2.0354380202105065e-05,7.5054848194122314
36,0.034303399920463565,0.0,0.0,0.0,0.0,0.0,0.0,0.002395471034105867,0.0,2.683299922943115,0.9330970704555511,0.011499999742954969,0.0,0.0,1.0,0.8661941558122634,-0.265625,-0.265625,0.0,0.002702195616438985,0.0,0.0,0.0,0.0,0.09706077128648757,6.0,0.0,0.10000000149011612,0.0,1.0,1.723144441142776e-05,10.902112483978271
37,0.032744705118238925,0.0,0.0,0.0,0.0,0.0,0.0,0.002266536030219868,0.0,2.640749979019165,0.9349541664123535,0.011499999742954969,0.0,0.0,1.0,0.8699083596467971,-0.265625,-0.265625,0.0,0.0025481391814537345,0.0,0.0,0.0,0.0,0.09522993639111518,6.0,0.0,0.10000000149011612,0.0,1.0,1.4649630951960416e-05,7.469411373138428
38,0.03259805077686906,0.0,0.0,0.0,0.0,0.0,0.0,0.0023448061489034443,0.0,2.672200012207031,0.9338948279619217,0.010999999754130841,0.0,0.0,1.0,0.867789626121521,-0.265625,-0.265625,0.0,0.002479604724794626,0.0,0.0,0.0,0.0,0.09513600543141365,6.0,0.0,0.10000000149011612,0.0,1.0,1.2624857562220728e-05,7.4472808837890625
39,0.03179612336680293,0.0,0.0,0.0,0.0,0.0,0.0,0.0022764240857213736,0.0,2.6574000000953673,0.9352823495864868,0.011499999742954969,0.0,0.0,1.0,0.8705647170543671,-0.265625,-0.265625,0.0,0.0024007436935789884,0.0,0.0,0.0,0.0,0.09424176774919032,6.0,0.0,0.10000000149011612,0.0,1.0,1.1169607643461924e-05,7.468194484710693
40,0.03188195656985045,0.0,0.0,0.0,0.0,0.0,0.0,0.00231636306270957,0.0,2.6536999583244323,0.9342450559139251,0.013499999698251487,0.0,0.0,1.0,0.8684901088476181,-0.2669921875,-0.2669921875,0.0,0.002394451410509646,0.0,0.0,0.0,0.0,0.0940797708928585,6.0,0.0,0.10000000149011612,0.0,1.0,1.0292853295352844e-05,10.894347190856934
