experiment_id,group,summary_history_path,epoch,summary_path,transfer_clip_style,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc
ablate_A0_base_p5_id045_tv005,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A0_base_p5_id045_tv005\full_eval\summary_history.json,60,..\ablate_A0_base_p5_id045_tv005\full_eval\epoch_0060\summary.json,0.6900004352629184,0.4939571438666667,315.7182792196458,489.6866001078777,0.0,0.6790380915006001,315.7182792196458,489.6866001078777,0.0
ablate_A1_p7_id045_tv005,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A1_p7_id045_tv005\full_eval\summary_history.json,60,..\ablate_A1_p7_id045_tv005\full_eval\epoch_0060\summary.json,0.689244296103716,0.48972012698333334,304.414080659088,467.2558836595762,0.0,0.6748146489262581,304.414080659088,467.2558836595762,0.0
ablate_A2_p11_id045_tv005,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A2_p11_id045_tv005\full_eval\summary_history.json,60,..\ablate_A2_p11_id045_tv005\full_eval\epoch_0060\summary.json,0.6887425909936429,0.4841050721166667,301.9908537370726,464.10522917623064,0.0,0.6803647354245187,301.9908537370726,464.10522917623064,0.0
ablate_A3_p5_id030_tv005,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A3_p5_id030_tv005\full_eval\summary_history.json,60,..\ablate_A3_p5_id030_tv005\full_eval\epoch_0060\summary.json,0.6912175864974657,0.5047980937500001,317.32324863199426,495.4050981167279,0.0,0.6821408346295358,317.32324863199426,495.4050981167279,0.0
ablate_A4_p5_id070_tv005,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A4_p5_id070_tv005\full_eval\summary_history.json,60,..\ablate_A4_p5_id070_tv005\full_eval\epoch_0060\summary.json,0.6877512326836586,0.48253961836666664,316.9367386238072,487.7933393310908,0.0,0.6751083627343177,316.9367386238072,487.7933393310908,0.0
ablate_A5_p5_id045_tv003,ablate,G:\GitHub\Latent_Style\Cycle-NCE\experiments\ablate_A5_p5_id045_tv003\full_eval\summary_history.json,60,..\ablate_A5_p5_id045_tv003\full_eval\epoch_0060\summary.json,0.6897283313175042,0.4978160808666667,315.75341344229423,490.80804681942925,0.0,0.6786251614491144,315.75341344229423,490.80804681942925,0.0
exp_1_control,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_1_control\full_eval\summary_history.json,100,..\exp_1_control\full_eval\epoch_0100\summary.json,0.6502712479233742,0.3731396070833333,290.7709695258771,405.2762802982277,0.0,0.6209399672845999,290.7709695258771,405.2762802982277,0.0
exp_2_zero_id,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_2_zero_id\full_eval\summary_history.json,100,..\exp_2_zero_id\full_eval\epoch_0100\summary.json,0.6509758176406225,0.38921050165000004,289.16228737229864,412.34168692380797,0.0,0.6282008486489454,289.16228737229864,412.34168692380797,0.0
exp_3_macro_strokes,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_3_macro_strokes\full_eval\summary_history.json,100,..\exp_3_macro_strokes\full_eval\epoch_0100\summary.json,0.648008402188619,0.35784621953333334,288.71370112725276,398.9806768780296,0.0,0.6156088327368101,288.71370112725276,398.9806768780296,0.0
exp_4_zero_tv,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_4_zero_tv\full_eval\summary_history.json,100,..\exp_4_zero_tv\full_eval\epoch_0100\summary.json,0.6493961105744044,0.3750534805833333,291.15313972862305,407.37692752108853,0.0,0.6187316596508026,291.15313972862305,407.37692752108853,0.0
exp_5_signal_overdrive,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_5_signal_overdrive\full_eval\summary_history.json,100,..\exp_5_signal_overdrive\full_eval\epoch_0100\summary.json,0.6548233059048654,0.3927676343333333,295.4506486552146,421.8789311142484,0.0,0.6273086316883565,295.4506486552146,421.8789311142484,0.0
exp_G1_edge_rush,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_G1_edge_rush\full_eval\summary_history.json,60,..\exp_G1_edge_rush\full_eval\epoch_0060\summary.json,0.6656092908978463,0.38031674246666664,282.9816016883981,399.12288621391826,0.0,0.6329489804804325,282.9816016883981,399.12288621391826,0.0
exp_G1_edge_rush,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_G1_edge_rush\full_eval\summary_history.json,120,..\exp_G1_edge_rush\full_eval\epoch_0120\summary.json,0.6669374526043734,0.3953184340166666,283.6427344756305,400.6075285422734,0.0,0.6343919972578684,283.6427344756305,400.6075285422734,0.0
exp_G1_edge_rush,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_G1_edge_rush\full_eval\summary_history.json,150,..\exp_G1_edge_rush\full_eval\epoch_0150\summary.json,0.6660482574005921,0.3908338524666667,284.62518569914903,400.8148225858752,0.0,0.6322051944832008,284.62518569914903,400.8148225858752,0.0
exp_S1_zero_id,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_S1_zero_id\full_eval\summary_history.json,150,..\exp_S1_zero_id\full_eval\epoch_0150\summary.json,0.7208060079813003,0.6248659133,345.5292298574435,575.9916835552482,0.0,0.722547350327174,345.5292298574435,575.9916835552482,0.0
exp_S2_color_blind,exp,G:\GitHub\Latent_Style\Cycle-NCE\experiments\exp_S2_color_blind\full_eval\summary_history.json,150,..\exp_S2_color_blind\full_eval\epoch_0150\summary.json,0.7022627408802509,0.5441855823333334,328.82141429889913,524.0720578842235,0.0,0.6966058348615964,328.82141429889913,524.0720578842235,0.0
final_demodulation,final,G:\GitHub\Latent_Style\Cycle-NCE\experiments\final_demodulation\full_eval\summary_history.json,40,..\final_demodulation\full_eval\epoch_0040\summary.json,0.7138874332110088,0.6991243989166667,401.352322854726,695.6923012767045,0.0,0.7079723358154297,401.352322854726,695.6923012767045,0.0
final_demodulation,final,G:\GitHub\Latent_Style\Cycle-NCE\experiments\final_demodulation\full_eval\summary_history.json,80,..\final_demodulation\full_eval\epoch_0080\summary.json,0.6986483848094941,0.7188968239333333,456.81669076252376,798.874966967107,0.0,0.6956543842951457,456.81669076252376,798.874966967107,0.0
G0-Base-Gain0.5,G0,G:\GitHub\Latent_Style\Cycle-NCE\experiments\G0-Base-Gain0.5\full_eval\summary_history.json,40,..\G0-Base-Gain0.5\full_eval\epoch_0040\summary.json,0.7024705429871878,0.52631032485,313.53982878740953,486.83238592026237,0.38833333333333336,0.6838834111889203,313.53982878740953,486.83238592026237,0.11666666666666667
G0-Base-Gain0.5,G0,G:\GitHub\Latent_Style\Cycle-NCE\experiments\G0-Base-Gain0.5\full_eval\summary_history.json,80,..\G0-Base-Gain0.5\full_eval\epoch_0080\summary.json,0.7022560980916023,0.5300168206833333,300.888925144769,466.045128165566,0.4,0.6839674378434818,300.888925144769,466.045128165566,0.13333333333333333
