epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,gradcos_swd_color,gradcos_swd_identity,gradcos_color_identity
1,111.23709869384766,0.22821910679340363,1.5185374021530151,0.03591276332736015,0.20185546576976776,4.1666666666666665e-05,3.153471500147134,0.011176300002261996,59.76985239924397,9.51807440025732,0.24402769969310611,7.119484300841577,69.54313079919666,79.90646266937256,10240,128.14983491848278,147.24675007180278,0.5451998615748797,-0.575555605150198,-0.5137643342566823
2,97.63339233398438,0.21900276839733124,1.230989694595337,0.1077825203537941,0.20136718451976776,8.333333333333333e-05,0.07739819982089102,0.011199099943041801,53.515288699418306,3.461024100193754,0.20487590017728508,7.140884200693108,57.19238779973239,64.41241264343262,10240,158.97556976611796,179.0448063797734,0.7333258935515095,-0.11273271919675582,0.2191358624195293
3,89.48895263671875,0.20055833458900452,1.0905169248580933,0.1626451313495636,0.20166015625,0.000125,0.08981639996636659,0.010839900351129472,53.471643499913625,3.509445700212382,0.20859040052164346,7.106130499043502,57.20051950099878,64.39746522903442,10240,159.01246987875487,179.01935313404277,0.5134924979566393,-0.18205124716868462,-0.07055355369810012
4,82.54167938232422,0.19129987061023712,0.9629227519035339,0.19001831114292145,0.20136718451976776,0.00016666666666666666,0.07961580017581582,0.011089000152423978,53.53159500041511,3.515863100066781,0.20980630000121891,7.117896099458449,57.26835340063553,64.46706891059875,10240,158.84078759964353,178.80730616372782,0.49780786393396836,-0.4495310199685171,-0.1709607068082605
5,77.99076843261719,0.18027155101299286,0.8922765851020813,0.21120691299438477,0.20136718451976776,0.00020833333333333335,0.08167389978189021,0.01119039987679571,53.52090599993244,3.5141689002048224,0.21155330014880747,7.113298200070858,57.257818600162864,64.4550769329071,10240,158.87034020080483,178.840204715219,0.5204255952195587,-0.31528815491891354,0.059066755231636174
6,76.31782531738281,0.17925137281417847,0.872626781463623,0.19329282641410828,0.20175781846046448,0.00025,0.07841209974139929,0.010633399826474488,53.54265150020365,3.4889789996668696,0.21177799999713898,7.124014799832366,57.25404189969413,64.4583830833435,10240,158.86219154395897,178.8520017143926,0.2670863747631784,0.2187937400516271,-0.1162269441897613
7,73.37193298339844,0.1752471774816513,0.8231558799743652,0.19756846129894257,0.20146484673023224,0.0002916666666666667,0.0782713001826778,0.010946699883788824,53.51552089955658,3.5272649998078123,0.2073173001408577,7.111218400648795,57.261049899389036,64.45237874984741,10240,158.87699102221643,178.8301125807555,0.41342382566996705,-0.16596657111202107,0.061342478932013014
8,75.40044403076172,0.1774619072675705,0.8669739961624146,0.1810821145772934,0.201171875,0.0003333333333333333,0.07539810030721128,0.010895799729041755,53.540932999690995,3.495027400669642,0.20988679956644773,7.105640900554135,57.256742999656126,64.4392352104187,10240,158.90939683816066,178.84356433025712,0.3436546823839627,-0.4102336743477754,0.08003118179552644
9,76.89542388916016,0.17922529578208923,0.8896681070327759,0.1842735856771469,0.20156250894069672,0.000375,0.0788346006302163,0.011008300352841616,53.519921400700696,3.4892653001006693,0.20898429944645613,7.126676599844359,57.22917930060066,64.43706560134888,10240,158.9147473497869,178.92970203562788,0.48541820812501135,-0.08417401580997017,-0.1856318843116968
10,75.09855651855469,0.17601212859153748,0.865032970905304,0.18150284886360168,0.20175781846046448,0.0004166666666666667,0.08169860043562949,0.011034299968741834,53.53321990009863,3.487443899968639,0.20901460014283657,7.1127750996965915,57.24071270017885,64.43718957901001,10240,158.91444159655921,178.89364958881802,0.4480858530313971,-0.3664660281281396,-0.3991993133872272
11,73.93269348144531,0.17505888640880585,0.8483535051345825,0.17520646750926971,0.20224609971046448,0.0004583333333333333,0.07859160040970892,0.011421200004406273,53.53774469986092,3.5033464999869466,0.20948940003290772,7.1195951998233795,57.262001799885184,64.46234679222107,10240,158.8524233069917,178.82713978086133,0.35806610994153487,-0.32425357384074927,-0.008669206225626919
12,73.07215881347656,0.17636442184448242,0.8298071026802063,0.1709044873714447,0.201171875,0.0005,0.07632440014276654,0.010856099892407656,53.522686399752274,3.5088695000158623,0.20690059976186603,7.13297650043387,57.24931259942241,64.45953321456909,10240,158.85935701572166,178.86677647380716,0.4507792630066747,-0.11614741608401871,-0.3281898415181603
13,73.15624237060547,0.1773146390914917,0.8350507616996765,0.160216823220253,0.20146484673023224,0.0004955994086622143,0.07837399991694838,0.011074499459937215,53.53243149956688,3.5072093998314813,0.21033770043868572,7.126114300219342,57.26105309929699,64.4673719406128,10240,158.84004096573173,178.83010258722817,0.5615946862399392,-0.3627677511794067,-0.34142563538524073
14,72.59642028808594,0.17390036582946777,0.8315595984458923,0.16444644331932068,0.20068359375,0.0004908460161961514,0.07527090003713965,0.010926099610514939,53.53060389950406,3.4916466001886874,0.21208490035496652,7.107854100060649,57.24526149965823,64.42970132827759,10240,158.93291120233334,178.87943441504126,0.39304701020129273,-0.46913320532507397,-0.30921497962832645
15,75.46495056152344,0.1774338334798813,0.8854084014892578,0.15264879167079926,0.20166015625,0.00048574715198846096,0.07596929999999702,0.01143890037201345,53.54276270058472,3.55013299966231,0.21254599990788847,7.136710399296135,57.31688060052693,64.53121137619019,10240,158.6829036929905,178.6559193855686,0.3733552206859293,-0.25323280960938477,-0.127892577837241
16,73.0581283569336,0.17644666135311127,0.8438724875450134,0.14658279716968536,0.20039062201976776,0.0004803106781181785,0.08234070031903684,0.010911399614997208,53.603783700149506,3.5059437004383653,0.21337169944308698,7.130249199690297,57.334010499645956,64.54775071144104,10240,158.64224372089495,178.6025416809667,0.3260726503697223,0.005086171268773615,-0.10377003622947462
17,73.0203628540039,0.17487439513206482,0.8428001403808594,0.15497316420078278,0.20175781846046448,0.00047454497723396826,0.07884849980473518,0.011297299643047154,53.5304983999813,3.5114941999781877,0.21106440026778728,7.113572399946861,57.26435429987032,64.45820093154907,10240,158.86264047105962,178.81979331116267,0.28023490987287347,-0.14947784743026274,-0.1963035706566616
18,71.6671142578125,0.17306463420391083,0.8246111869812012,0.14922861754894257,0.20185546576976776,0.00046845893962868746,0.07979379955213517,0.011521499953232706,53.50456749938894,3.548564700060524,0.2104281005449593,7.116454099887051,57.27508179994766,64.47252917289734,10240,158.82733516687668,178.7863007470966,0.5363047760446608,0.36597409745138626,0.38145640134750786
19,69.03666687011719,0.17305119335651398,0.7823347449302673,0.13207463920116425,0.20175781846046448,0.0004620619495311987,0.07897819974459708,0.011185100418515503,53.48744560056366,3.581118699745275,0.21120580029673874,7.124866098980419,57.29095520102419,64.49657559394836,10240,158.76811917066814,178.73676506299444,0.48572928907469365,-0.15509946273541614,-0.0723409479729969
20,68.25298309326172,0.17237608134746552,0.7686461210250854,0.13214178383350372,0.20166015625,0.00045536387063656916,0.07689199992455542,0.011110200081020594,53.551958000520244,3.4845617989776656,0.20939080009702593,7.125845200149342,57.257020799675956,64.46148753166199,10240,158.8545407825153,178.8426966157826,0.379506383337768,-0.5035347586771598,-0.32375975487012454
21,69.89533233642578,0.1725132316350937,0.7986416816711426,0.13620901107788086,0.20146484673023224,0.00044837503089696786,0.07427240023389459,0.012030499754473567,53.51541549968533,3.5030358997173607,0.21554479945916682,7.116998301120475,57.24602669861633,64.43925642967224,10240,158.90934451076012,178.87704336076666,0.36328028770076837,0.14823540665267154,0.3552275950637166
22,68.48055267333984,0.17115184664726257,0.7753267288208008,0.13471432030200958,0.20166015625,0.00044110620659671215,0.07543100020848215,0.01115169981494546,53.55821369960904,3.5070607997477055,0.2121362000470981,7.113982400856912,57.28856239921879,64.48029208183289,10240,158.80821363222526,178.7442304563683,0.557686991753924,0.17719345854627463,0.17443152776425094
23,69.3746337890625,0.17227236926555634,0.7923664450645447,0.13051484525203705,0.20195312798023224,0.0004335686057360181,0.07491540000773966,0.010823499411344528,53.50187510007527,3.4952893001027405,0.21357360028196126,7.124350599828176,57.221561499871314,64.4228150844574,10240,158.949899761063,178.95352261617379,0.35252428060038843,-0.43175845492519127,0.0467815427141809
24,71.05040740966797,0.1736547350883484,0.8224397897720337,0.12934012711048126,0.20175781846046448,0.0004257738507490766,0.08233919972553849,0.01122810016386211,53.563842100440525,3.477215899969451,0.20781440020073205,7.111845699255355,57.26010050077457,64.4559555053711,10240,158.8681747049224,178.83307766568592,0.395126351288923,0.0127125168156772,0.012215083254288862
25,72.31814575195312,0.17545875906944275,0.8410504460334778,0.13155952095985413,0.20175781846046448,0.0004177339605831026,0.07482860004529357,0.010666000074706972,53.506773200584576,3.509773899917491,0.21133260033093393,7.119064599042758,57.23854570090771,64.4344322681427,10240,158.92124194384812,178.90042233965443,0.4986255785225227,0.27962440362093594,0.36642385774923186
26,67.3249282836914,0.1706947535276413,0.7612202167510986,0.121989905834198,0.2021484375,0.00040946133216598896,0.07647820038255304,0.01109199970960617,53.57191640022211,3.5241698999889195,0.21161510015372187,7.134855899377726,57.318793400074355,64.53162598609924,10240,158.6818841695667,178.64995741495696,0.4435509773982503,-0.1381789964786672,0.023768410217846203
27,70.8561782836914,0.17317403852939606,0.8250454068183899,0.12092651426792145,0.20107422769069672,0.0004009687212911429,0.07939350011292845,0.010859399917535484,53.528546299785376,3.519463200471364,0.20818860013969243,7.126724999747239,57.26705750031397,64.47475790977478,10240,158.8218448889678,178.81135240698998,0.49205027795898104,-0.14841447013429052,-0.20615859311419923
28,70.52067565917969,0.17510195076465607,0.809773862361908,0.12555687129497528,0.201171875,0.00039226922294897677,0.1444168002344668,0.010696599609218538,53.547966699814424,3.5114539997885004,0.21242369979154319,7.128768700640649,57.282540999003686,64.55737829208374,10240,158.61858506195978,178.7630196114747,0.4506573215978579,-0.22000893339833566,-0.174272563412349
29,69.6099624633789,0.17371167242527008,0.7953177094459534,0.1262441873550415,0.20156250894069672,0.0003833762511353818,0.0803126998944208,0.01121600007172674,53.48271869996097,3.544339400017634,0.21273880009539425,7.123263799818233,57.251012900145724,64.45587491989136,10240,158.86837332867995,178.86146430037985,0.3598578248996114,-0.062479393995897116,0.11990240039476587
