experiment_id,epoch,source_file,updated_at,transfer_clip_style,transfer_clip_content,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc,summary_path
trial_0006_lr0.000634_swdna_wcna_hfna_id25,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0006\experiment\full_eval\epoch_0060\summary.json,2026-03-24 08:23:59,0.7090742168426515,0.7955977889200001,0.44896665196,,,0.0,0.663001645108064,0.7547859773333334,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0006\experiment\full_eval\epoch_0060\summary.json
trial_0005_lr0.000206_swdna_wcna_hfna_id45,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0005\experiment\full_eval\epoch_0060\summary.json,2026-03-24 06:52:46,0.6989391900300979,0.8242552996799999,0.4218692626746667,,,0.0,0.6523686503370603,0.7835268205833333,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0005\experiment\full_eval\epoch_0060\summary.json
trial_0004_lr0.00046_swdna_wcna_hfna_id38,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0004\experiment\full_eval\epoch_0060\summary.json,2026-03-24 05:21:33,0.7094387246370316,0.80330022708,0.4419513135333334,,,0.0,0.665714147935311,0.7581446019166667,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0004\experiment\full_eval\epoch_0060\summary.json
trial_0003_lr0.000217_swdna_wcna_hfna_id42,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0003\experiment\full_eval\epoch_0060\summary.json,2026-03-24 03:50:08,0.7039829343954722,0.8142529465066666,0.43275513457333337,,,0.0,0.6564539022743702,0.7782345115,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0003\experiment\full_eval\epoch_0060\summary.json
trial_0002_lr0.000248_swdna_wcna_hfna_id24,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060\summary.json,2026-03-24 02:18:41,0.7075360656579335,0.79989950236,0.4493567662733333,,,0.0,0.6694009656707446,0.7493604817499999,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060\summary.json
trial_0002_lr0.000248_swdna_wcna_hfna_id24_tokenized,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060_tokenized\summary.json,2026-03-24 11:55:31,0.7076422004302343,0.7999594314533333,0.44970845125333336,301.71589279174805,464.0595136899247,0.0,0.669321957230568,0.7493924774999999,301.71589279174805,464.0595136899247,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060_tokenized\summary.json
trial_0001_lr0.000552_swdna_wcna_hfna_id35,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060\summary.json,2026-03-24 00:47:17,0.7107718820969263,0.7930817740266667,0.45228521374666664,,,0.0,0.6704851577679316,0.7593835918333334,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060\summary.json
trial_0001_lr0.000552_swdna_wcna_hfna_id35_tokenized,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060_tokenized\summary.json,2026-03-24 11:36:29,0.7100285619099935,0.7941811294666666,0.45121846852,305.53721618652344,466.8856045849566,0.0,0.6682291542490323,0.7619419564166667,305.53721618652344,466.8856045849566,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060_tokenized\summary.json
trial_0000_lr0.000336_swdna_wcna_hfna_id44,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060\summary.json,2026-03-23 23:15:39,0.703442888021469,0.8178540618533333,0.4295587981333333,,,0.0,0.659370838602384,0.7695283412499999,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060\summary.json
trial_0000_lr0.000336_swdna_wcna_hfna_id44_tokenized,60,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060_tokenized\summary.json,2026-03-24 11:15:48,0.7031258906523388,0.8170603438266666,0.42971568254,300.95336151123047,454.37715341584476,0.0,0.6581284046173096,0.76887412,300.95336151123047,454.37715341584476,0.0,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060_tokenized\summary.json
