experiment_id,epoch,source_file,updated_at,all_clip_style,all_clip_content,all_content_lpips,all_fid,all_art_fid,all_classifier_acc,transfer_clip_style,transfer_clip_content,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc,summary_path
Skip10_S01_None_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:46:57,0.6928031390110653,0.8478509134533334,0.39452203105333333,,,0.3026666666666667,0.6632496102154255,0.8408354146333332,0.4085693446333333,,,0.16166666666666665,0.6309455404678981,0.82891392275,,,0.041666666666666664,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S02_Naive_G1p0_distill_epochs200_tokenized_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 05:35:37,0.6930737665096919,0.8354098920666666,0.4006717025733333,,,0.3253333333333333,0.6642171987394492,0.8294377106,0.4139337963333333,,,0.18500000000000003,0.6356067106127739,0.8290260604166666,,,0.058333333333333334,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S02_Naive_G1p0_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:39:28,0.6934352115392686,0.8302514544666667,0.4130151189466666,,,0.33333333333333337,0.6650202062229316,0.8225776029666665,0.4277791599166666,,,0.195,0.628830369313558,0.8261948351666666,,,0.05,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S03_Naive_G0p5_distill_epochs200_tokenized_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 05:51:47,0.6936353080670038,0.8209640951199999,0.41698741068000006,,,0.3,0.6661005025605361,0.8159373977833333,0.42910140758333337,,,0.16833333333333333,0.6375090181827545,0.82105966525,,,0.041666666666666664,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S03_Naive_G0p5,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080\summary.json,2026-03-31 05:53:01,0.681775545279185,0.8770858371599999,0.3371228604586667,,,0.24,0.6482382447520891,0.8741785611000001,0.3442670347333333,,,0.06666666666666667,0.6081082793573538,0.875239316,,,0.008333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080\summary.json
Skip10_S03_Naive_G0p5_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:55:39,0.6936909691492715,0.8351094569333333,0.405751419,,,0.32000000000000006,0.6644623478253682,0.8275961850166667,0.4206410693666666,,,0.17833333333333334,0.6279350223640601,0.8326283550833334,,,0.06666666666666667,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S01_None_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 05:43:54,0.6948156978289287,0.8560585674933333,0.38231335614666667,,,0.292,0.6640039145946502,0.8497450191,0.3957860486333334,,,0.13500000000000004,0.6377574938038985,0.8341275199166667,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S01_None_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:46:57,0.6928031390110653,0.8478509134533334,0.39452203105333333,,,0.3026666666666667,0.6632496102154255,0.8408354146333332,0.4085693446333333,,,0.16166666666666665,0.6309455404678981,0.82891392275,,,0.041666666666666664,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S01_None\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S02_Naive_G1p0_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 05:35:37,0.6930737665096919,0.8354098920666666,0.4006717025733333,,,0.3253333333333333,0.6642171987394492,0.8294377106,0.4139337963333333,,,0.18500000000000003,0.6356067106127739,0.8290260604166666,,,0.058333333333333334,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S02_Naive_G1p0_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:39:28,0.6934352115392686,0.8302514544666667,0.4130151189466666,,,0.33333333333333337,0.6650202062229316,0.8225776029666665,0.4277791599166666,,,0.195,0.628830369313558,0.8261948351666666,,,0.05,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S02_Naive_G1p0\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S03_Naive_G0p5_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 05:51:47,0.6936353080670038,0.8209640951199999,0.41698741068000006,,,0.3,0.6661005025605361,0.8159373977833333,0.42910140758333337,,,0.16833333333333333,0.6375090181827545,0.82105966525,,,0.041666666666666664,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S03_Naive_G0p5_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 05:55:39,0.6936909691492715,0.8351094569333333,0.405751419,,,0.32000000000000006,0.6644623478253682,0.8275961850166667,0.4206410693666666,,,0.17833333333333334,0.6279350223640601,0.8326283550833334,,,0.06666666666666667,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S03_Naive_G0p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S04_Naive_G1p5,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0040\summary.json,2026-03-31 05:59:18,0.6820609454711278,0.8858008395866668,0.33424975949333335,,,0.24,0.6479617143174011,0.8834204393333336,0.34181801584999993,,,0.06333333333333334,0.6151644590000311,0.8709813081666666,,,0.008333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0040\summary.json
Skip10_S04_Naive_G1p5_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 06:01:57,0.6945622997283937,0.8570604799999999,0.3862817143466667,,,0.30533333333333335,0.6636303503314654,0.8510079371333334,0.3999980915833333,,,0.15166666666666667,0.6339821852743626,0.8378170874166665,,,0.06666666666666667,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
Skip10_S04_Naive_G1p5,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0080\summary.json,2026-03-31 06:03:12,0.6819981885751087,0.8799575133333333,0.33789360921333333,,,0.24133333333333332,0.6485006712873777,0.8769072019000002,0.34590606851666666,,,0.07,0.6116446256637573,0.86709325125,,,0.008333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0080\summary.json
Skip10_S04_Naive_G1p5_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-03-31 06:05:51,0.6957922167380651,0.8407338706400002,0.4058210283733334,,,0.31866666666666665,0.666462870190541,0.8325563915166667,0.42200928636666674,,,0.17333333333333334,0.6305852187176545,0.83192670625,,,0.075,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S04_Naive_G1p5\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
Skip10_S05_Adaptive,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S05_Adaptive\full_eval\epoch_0040\summary.json,2026-03-31 06:08:44,0.6832516743739445,0.8445126534533333,0.41393771145333325,,,0.2826666666666667,0.6535142379502454,0.8391272632833333,0.4262012226333334,,,0.11333333333333333,0.6230487701793511,0.8213564007499998,,,0.15,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S05_Adaptive\full_eval\epoch_0040\summary.json
Skip10_S05_Adaptive_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S05_Adaptive\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-03-31 06:11:24,0.6914818846384685,0.8544612528000001,0.3831861712933334,,,0.30933333333333335,0.6606793382763863,0.8487190626833334,0.3960969836666667,,,0.15666666666666668,0.6312397825221221,0.8407668049166667,,,0.058333333333333334,G:\GitHub\Latent_Style\Cycle-NCE\skip\Skip10_S05_Adaptive\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
