experiment_id,epoch,source_file,updated_at,all_clip_style,all_clip_content,all_content_lpips,all_fid,all_art_fid,all_classifier_acc,transfer_clip_style,transfer_clip_content,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc,﻿experiment_id,summary_path,transfer_clip_dir,photo_to_art_clip_dir,transfer_fid_baseline,transfer_delta_fid,transfer_delta_fid_ratio,photo_to_art_fid_baseline,photo_to_art_delta_fid,photo_to_art_delta_fid_ratio
abl_macro_decoder,80,Y:\experiments\abl\abl_macro_decoder\full_eval\summary_history.json,2026-03-18 20:06:57,,,,,,,0.7052747902274132,,0.5503127561500001,313.1746708061339,495.447003683941,0.0,0.7011111343900363,,313.1746708061339,495.447003683941,0.0,,..\abl_macro_decoder\full_eval\epoch_0080\summary.json,,,,,,,,
abl_naive_skip,40,Y:\experiments\abl\abl_naive_skip\full_eval\summary_history.json,2026-03-19 02:58:12,,,,,,,0.6984118814269701,,0.5939234347166668,326.3586000823424,526.6445349326287,0.0,0.6844559326767921,,326.3586000823424,526.6445349326287,0.0,,..\abl_naive_skip\full_eval\epoch_0040\summary.json,,,,,,,,
abl_naive_skip,80,Y:\experiments\abl\abl_naive_skip\full_eval\summary_history.json,2026-03-19 02:58:12,,,,,,,0.7061084746321042,,0.6041445840999999,330.40558159636475,538.0465795216367,0.0,0.6851516380906105,,330.40558159636475,538.0465795216367,0.0,,..\abl_naive_skip\full_eval\epoch_0080\summary.json,,,,,,,,
abl_no_adagn,40,Y:\experiments\abl\abl_no_adagn\full_eval\summary_history.json,2026-03-19 00:48:24,,,,,,,0.6855056300759316,,0.5233671737666666,304.94378127062987,475.6556875205735,0.0,0.6670174951354663,,304.94378127062987,475.6556875205735,0.0,,..\abl_no_adagn\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_adagn,80,Y:\experiments\abl\abl_no_adagn\full_eval\summary_history.json,2026-03-19 00:48:24,,,,,,,0.6973906821012498,,0.54147574105,312.5094776422771,492.04662608023506,0.0,0.6866014535228411,,312.5094776422771,492.04662608023506,0.0,,..\abl_no_adagn\full_eval\epoch_0080\summary.json,,,,,,,,
abl_no_color,20,Y:\experiments\abl\abl_no_color\full_eval\summary_history.json,2026-03-17 06:34:33,,,,,,,0.6741669292251269,,0.47744189875,307.0856255663554,471.83411037754763,0.0,0.6610657498240471,,307.0856255663554,471.83411037754763,0.0,,..\abl_no_color\full_eval\epoch_0020\summary.json,,,,,,,,
abl_no_color,40,Y:\experiments\abl\abl_no_color\full_eval\summary_history.json,2026-03-17 06:34:33,,,,,,,0.681056601703167,,0.5120206560833334,313.06438758966743,483.69219356670044,0.0,0.6685240810116133,,313.06438758966743,483.69219356670044,0.0,,..\abl_no_color\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_color,60,Y:\experiments\abl\abl_no_color\full_eval\summary_history.json,2026-03-17 06:34:33,,,,,,,0.6879179683824379,,0.5108179123333333,314.525119204002,487.7656488704786,0.0,0.6784743100404739,,314.525119204002,487.7656488704786,0.0,,..\abl_no_color\full_eval\epoch_0060\summary.json,,,,,,,,
abl_no_hf_swd,20,Y:\experiments\abl\abl_no_hf_swd\full_eval\summary_history.json,2026-03-17 04:57:26,,,,,,,0.6578276203076044,,0.42806294075,295.01738192358414,427.8029942784497,0.0,0.6356435557206472,,295.01738192358414,427.8029942784497,0.0,,..\abl_no_hf_swd\full_eval\epoch_0020\summary.json,,,,,,,,
abl_no_hf_swd,40,Y:\experiments\abl\abl_no_hf_swd\full_eval\summary_history.json,2026-03-17 04:57:26,,,,,,,0.6630321887632211,,0.4420350294833334,291.5726478336287,428.5991698277107,0.0,0.6436387469371161,,291.5726478336287,428.5991698277107,0.0,,..\abl_no_hf_swd\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_hf_swd,60,Y:\experiments\abl\abl_no_hf_swd\full_eval\summary_history.json,2026-03-17 04:57:26,,,,,,,0.6669125863909722,,0.4546445474333334,289.93324590559666,430.59458646768735,0.0,0.6491552690664928,,289.93324590559666,430.59458646768735,0.0,,..\abl_no_hf_swd\full_eval\epoch_0060\summary.json,,,,,,,,
abl_no_id,20,Y:\experiments\abl\abl_no_id\full_eval\summary_history.json,2026-03-17 02:00:29,,,,,,,0.6776700074474016,,0.5149171467833333,323.281345165543,505.65341709353316,0.0,0.6630529950062434,,323.281345165543,505.65341709353316,0.0,,..\abl_no_id\full_eval\epoch_0020\summary.json,,,,,,,,
abl_no_id,40,Y:\experiments\abl\abl_no_id\full_eval\summary_history.json,2026-03-17 02:00:29,,,,,,,0.6883504754304887,,0.5347755112500001,325.1552654550609,508.51742259482,0.0,0.673657014966011,,325.1552654550609,508.51742259482,0.0,,..\abl_no_id\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_id,60,Y:\experiments\abl\abl_no_id\full_eval\summary_history.json,2026-03-17 02:00:29,,,,,,,0.6959529793759188,,0.5326677307666666,324.30895674786467,510.14725373408004,0.0,0.6837586298584938,,324.30895674786467,510.14725373408004,0.0,,..\abl_no_id\full_eval\epoch_0060\summary.json,,,,,,,,
abl_no_residual,40,Y:\experiments\abl\abl_no_residual\full_eval\summary_history.json,2026-03-19 05:07:57,,,,,,,0.6285932735105356,,0.2966944365333334,286.4353868093478,372.4162687477615,0.0,0.5788888116677602,,286.4353868093478,372.4162687477615,0.0,,..\abl_no_residual\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_residual,80,Y:\experiments\abl\abl_no_residual\full_eval\summary_history.json,2026-03-19 05:07:57,,,,,,,0.6285974740982055,,0.2965136992433333,286.488500279911,372.43986726483,0.0,0.5794123634696007,,286.488500279911,372.43986726483,0.0,,..\abl_no_residual\full_eval\epoch_0080\summary.json,,,,,,,,
abl_no_skip_filter,20,Y:\experiments\abl\abl_no_skip_filter\full_eval\summary_history.json,2026-03-17 00:23:40,,,,,,,0.6766998323798179,,0.4818098107166667,295.3618405702632,454.8037124665803,0.0,0.6636819442113241,,295.3618405702632,454.8037124665803,0.0,,..\abl_no_skip_filter\full_eval\epoch_0020\summary.json,,,,,,,,
abl_no_skip_filter,40,Y:\experiments\abl\abl_no_skip_filter\full_eval\summary_history.json,2026-03-17 00:23:40,,,,,,,0.682287026643753,,0.5240054172166666,312.62528241377294,486.0097869922973,0.0,0.6658648282289505,,312.62528241377294,486.0097869922973,0.0,,..\abl_no_skip_filter\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_skip_filter,60,Y:\experiments\abl\abl_no_skip_filter\full_eval\summary_history.json,2026-03-17 00:23:40,,,,,,,0.6936498114466667,,0.53091834485,313.03116169396145,491.12729708499364,0.0,0.6825243035952251,,313.03116169396145,491.12729708499364,0.0,,..\abl_no_skip_filter\full_eval\epoch_0060\summary.json,,,,,,,,
abl_no_tv,20,Y:\experiments\abl\abl_no_tv\full_eval\summary_history.json,2026-03-17 08:11:39,,,,,,,0.6750590335826079,,0.4789383531833334,304.70874502847363,467.9319828079949,0.0,0.6631742854913076,,304.70874502847363,467.9319828079949,0.0,,..\abl_no_tv\full_eval\epoch_0020\summary.json,,,,,,,,
abl_no_tv,40,Y:\experiments\abl\abl_no_tv\full_eval\summary_history.json,2026-03-17 08:11:39,,,,,,,0.6814557622373104,,0.5147520761833334,309.9165782276309,479.0386586350655,0.0,0.6693645427624385,,309.9165782276309,479.0386586350655,0.0,,..\abl_no_tv\full_eval\epoch_0040\summary.json,,,,,,,,
abl_no_tv,60,Y:\experiments\abl\abl_no_tv\full_eval\summary_history.json,2026-03-17 08:11:39,,,,,,,0.6899719247221947,,0.5171024899000002,315.57154289333056,491.2087405937405,0.0,0.6811439057191213,,315.57154289333056,491.2087405937405,0.0,,..\abl_no_tv\full_eval\epoch_0060\summary.json,,,,,,,,
abl_rank1,40,Y:\experiments\abl\abl_rank1\full_eval\summary_history.json,2026-03-18 14:05:04,,,,,,,0.6778410990536212,,0.5092760815499999,297.2028904286649,459.55449272717385,0.0,0.66791536261638,,297.2028904286649,459.55449272717385,0.0,,..\abl_rank1\full_eval\epoch_0040\summary.json,,,,,,,,
abl_rank1,80,Y:\experiments\abl\abl_rank1\full_eval\summary_history.json,2026-03-18 14:05:04,,,,,,,0.6967839918037255,,0.5356131045,305.37773393098496,479.2037388557039,0.0,0.6920865416526794,,305.37773393098496,479.2037388557039,0.0,,..\abl_rank1\full_eval\epoch_0080\summary.json,,,,,,,,
abl_rank64,40,Y:\experiments\abl\abl_rank64\full_eval\summary_history.json,2026-03-18 23:07:25,,,,,,,0.6824957251548767,,0.5029494803166668,303.0690770280173,463.89801749451664,0.0,0.6701212738951048,,303.0690770280173,463.89801749451664,0.0,,..\abl_rank64\full_eval\epoch_0040\summary.json,,,,,,,,
abl_rank64,80,Y:\experiments\abl\abl_rank64\full_eval\summary_history.json,2026-03-18 23:07:25,,,,,,,0.6983480581641197,,0.5430140354666667,300.4198598477714,471.36048005793754,0.0,0.6887916987140974,,300.4198598477714,471.36048005793754,0.0,,..\abl_rank64\full_eval\epoch_0080\summary.json,,,,,,,,
abl_rank8,40,Y:\experiments\abl\abl_rank8\full_eval\summary_history.json,2026-03-18 16:12:25,,,,,,,0.6840080748995144,,0.5148197236499998,310.6757550035253,479.4288998036655,0.0,0.6751023828983308,,310.6757550035253,479.4288998036655,0.0,,..\abl_rank8\full_eval\epoch_0040\summary.json,,,,,,,,
abl_rank8,80,Y:\experiments\abl\abl_rank8\full_eval\summary_history.json,2026-03-18 16:12:25,,,,,,,0.69890377253294,,0.53910323185,308.7902921525792,485.13090496984705,0.0,0.6889562080303828,,308.7902921525792,485.13090496984705,0.0,,..\abl_rank8\full_eval\epoch_0080\summary.json,,,,,,,,
abl_vanilla_gn,20,Y:\experiments\abl\abl_vanilla_gn\full_eval\summary_history.json,2026-03-16 22:45:24,,,,,,,0.6697267367442449,,0.46252484818333334,294.35714442008737,448.6170339426948,0.0,0.6488921662171682,,294.35714442008737,448.6170339426948,0.0,,..\abl_vanilla_gn\full_eval\epoch_0020\summary.json,,,,,,,,
abl_vanilla_gn,40,Y:\experiments\abl\abl_vanilla_gn\full_eval\summary_history.json,2026-03-16 22:45:24,,,,,,,0.6728795332213243,,0.48998856329999996,301.662925102778,461.2685271017401,0.0,0.657711435854435,,301.662925102778,461.2685271017401,0.0,,..\abl_vanilla_gn\full_eval\epoch_0040\summary.json,,,,,,,,
abl_vanilla_gn,60,Y:\experiments\abl\abl_vanilla_gn\full_eval\summary_history.json,2026-03-16 22:45:24,,,,,,,0.6831126003960769,,0.4982898106166666,304.4182428279123,469.8439426203788,0.0,0.6693337981899579,,304.4182428279123,469.8439426203788,0.0,,..\abl_vanilla_gn\full_eval\epoch_0060\summary.json,,,,,,,,
ablate_A0_base_p5_id045_tv005,60,Y:\experiments\ablate_A0_base_p5_id045_tv005\full_eval\summary_history.json,2026-03-04 02:30:30,,,,,,,0.6900004352629184,,0.4939571438666667,315.7182792196458,489.6866001078777,0.0,0.6790380915006001,,315.7182792196458,489.6866001078777,0.0,,..\ablate_A0_base_p5_id045_tv005\full_eval\epoch_0060\summary.json,,,,,,,,
