experiment_id,epoch,source_file,updated_at,transfer_clip_style,transfer_clip_content,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc,summary_path,transfer_clip_dir,photo_to_art_clip_dir,transfer_fid_baseline,transfer_delta_fid,transfer_delta_fid_ratio,photo_to_art_fid_baseline,photo_to_art_delta_fid,photo_to_art_delta_fid_ratio
sdturbo_5x5,,G:\GitHub\Latent_Style\Related_Works\runs\sdturbo_5x5\summary.json,2026/3/8 3:06,0.761462392,0.566270935,0.778725161,,,0,0.784092759,0.534422861,,,0,G:\GitHub\Latent_Style\Related_Works\runs\sdturbo_5x5\summary.json,,,,,,,,
infer_5x5,,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\infer_5x5\summary.json,2026/3/8 2:28,0.739177146,0.757768759,0.509514545,,,0,0.75368165,0.691695819,,,0,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\infer_5x5\summary.json,,,,,,,,
infer_val_clean_5x5,,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json,2026/3/8 2:34,0.734295455,0.758309257,0.512324409,,,0,0.74779176,0.677322461,,,0,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json,,,,,,,,
decoder-D-160,160,G:\GitHub\Latent_Style\Cycle-NCE\decoder-D-160\full_eval\epoch_0160_tokenized\summary.json,2026/3/12 22:46,0.720171873,0.68666297,0.58330057,323.7151211,523.359652,0.49,0.715403556,0.67076401,323.7151211,523.359652,0.241666667,G:\GitHub\Latent_Style\Cycle-NCE\decoder-D-160\full_eval\epoch_0160_tokenized\summary.json,,,,,,,,
decoder-D-sweetspot,80,Y:\experiments\decoder-ablation-aggregate\decoder-D-sweetspot\full_eval\epoch_0080\summary.json,2026/3/6 14:18,0.719814098,0.683929828,0.581024167,311.2447423,501.0374724,0.488333333,0.711875548,0.669279048,311.2447423,501.0374724,0.175,Y:\experiments\decoder-ablation-aggregate\decoder-D-sweetspot\full_eval\epoch_0080\summary.json,,,,,,,,
ablate_M1-Aggressive-Fine,120,Y:\experiments\final-shootout-aggregate\ablate_M1-Aggressive-Fine\full_eval\epoch_0120\summary.json,2026/3/7 8:09,0.716997964,0.67483791,0.59795367,308.5456735,500.132665,0.561666667,0.71604609,0.660364535,308.5456735,500.132665,0.341666667,Y:\experiments\final-shootout-aggregate\ablate_M1-Aggressive-Fine\full_eval\epoch_0120\summary.json,,,,,,,,
decoder-D-160,120,G:\GitHub\Latent_Style\Cycle-NCE\decoder-D-160\full_eval\epoch_0120_tokenized\summary.json,2026/3/12 22:23,0.715467973,0.692627299,0.577819201,327.7446315,528.454741,0.486666667,0.711547544,0.678019743,327.7446315,528.454741,0.225,G:\GitHub\Latent_Style\Cycle-NCE\decoder-D-160\full_eval\epoch_0120_tokenized\summary.json,,,,,,,,
scale_c256 (1),60,G:\GitHub\Latent_Style\Cycle-NCE\scale_c256 (1)\full_eval\epoch_0060\summary.json,2026/3/17 13:00,0.715076943,0.688244908,0.579836206,310.9976196,501.9695418,0,0.709443514,0.668420779,310.9976196,501.9695418,0,G:\GitHub\Latent_Style\Cycle-NCE\scale_c256 (1)\full_eval\epoch_0060\summary.json,,,,,,,,
ablate_M1-Aggressive-Fine,80,Y:\experiments\final-shootout-aggregate\ablate_M1-Aggressive-Fine\full_eval\epoch_0080\summary.json,2026/3/7 6:12,0.712893565,0.671334112,0.590514294,313.4874591,505.4976711,0.496666667,0.709575357,0.661186284,313.4874591,505.4976711,0.216666667,Y:\experiments\final-shootout-aggregate\ablate_M1-Aggressive-Fine\full_eval\epoch_0080\summary.json,,,,,,,,
decoder-D-sweetspot,40,Y:\experiments\decoder-ablation-aggregate\decoder-D-sweetspot\full_eval\epoch_0040\summary.json,2026/3/6 12:20,0.712325451,0.7169996,0.550399883,317.4807599,505.0013709,0.46,0.703137437,0.694654259,317.4807599,505.0013709,0.141666667,Y:\experiments\decoder-ablation-aggregate\decoder-D-sweetspot\full_eval\epoch_0040\summary.json,,,,,,,,
