method,wins_so_far,cases_completed,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far
AttnSA_e08,2,200,2,0,2
SaMAM_2250,104,200,100,62,82
Seedream_repaired750,94,200,98,138,116
