family,label,step_or_epoch,clip_style,content_lpips,one_minus_lpips,train_sec,train_min,note
SaMAM,SaMAM 250,250,0.5479905153512955,0.60062504418691,0.39937495581309,3191.26,53.18766666666667,"cumulative train wall, eval excluded"
SaMAM,SaMAM 500,500,0.5629966173171997,0.5424447286427021,0.4575552713572979,6285.47,104.75783333333334,"cumulative train wall, eval excluded"
SaMAM,SaMAM 750,750,0.5657316401004792,0.5359654448231062,0.46403455517689385,9473.03,157.88383333333334,"cumulative train wall, eval excluded"
SaMAM,SaMAM 1000,1000,0.5659095385869344,0.460542116244634,0.5394578837553661,12523.23,208.7205,"cumulative train wall, eval excluded"
SaMAM,SaMAM 1250,1250,0.5780386782089869,0.4429448606769244,0.5570551393230756,15544.849999999999,259.0808333333333,"cumulative train wall, eval excluded"
SaMAM,SaMAM 1500,1500,0.5805252346197765,0.4128264354666074,0.5871735645333926,18570.19,309.50316666666663,"cumulative train wall, eval excluded"
SaMAM,SaMAM 1750,1750,0.5776164135138194,0.37724381402134893,0.622756185978651,21618.3,360.305,"cumulative train wall, eval excluded"
SaMAM,SaMAM 2000,2000,0.5833460243542989,0.36215300556023916,0.6378469944397609,24574.96,409.5826666666666,"cumulative train wall, eval excluded"
SaMAM,SaMAM 2250,2250,0.5810966821114222,0.35382040921847024,0.6461795907815298,27513.02,458.55033333333336,"cumulative train wall, eval excluded; 2250 segment train wall 2938.06s"
Reference,No-op 5x5,0,0.6801226128737131,0.0,1.0,0.0,0.0,"unchanged source image copied to every target; transfer-only clip_style=0.6399208252628644"
LANCET,Baseline e1,1,0.6869580874443055,0.44675554204,0.55324445796,70.76506447792053,1.1794177412986755,baseline fast point
LANCET,Baseline e8,8,0.687648866891861,0.45274286515999995,0.54725713484,506.22308826446533,8.437051471074422,baseline best style
LANCET,C e2,2,0.6906585683425267,0.4225928860933334,0.5774071139066665,135.67059016227722,2.2611765027046205,content-guided spatial
LANCET,D e1,1,0.6897613146305084,0.41559896694666665,0.5844010330533334,72.09774112701416,1.2016290187835694,VQ + spatial
LANCET,E e1,1,0.697346945643425,0.3581669207866666,0.6418330792133333,71.83662033081055,1.1972770055135091,prototype queue style point
LANCET,E e3,3,0.6934616965850193,0.33308632712,0.66691367288,197.38312029838562,3.2897186716397604,prototype queue LPIPS point
LANCET,F e1,1,0.696914507508278,0.31864464036,0.6813553596399999,72.96682977676392,1.2161138296127318,current LPIPS best
LANCET,H e1,1,0.6973625582059225,0.32133288292,0.67866711708,73.24106001853943,1.2206843336423239,balanced LPIPS point
LANCET,H e2,2,0.6993825696706771,0.34840661536,0.6515933846399999,135.9388608932495,2.2656476815541584,balanced style point
LANCET,J e1,1,0.6976529497305551,0.33227413865333333,0.6677258613466667,73.37286019325256,1.2228810032208761,aux hard SWD
LANCET,K e1,1,0.7009949656327565,0.36229389774666665,0.6377061022533334,72.46199893951416,1.207699982325236,current style best
LANCET,L e1,1,0.6977771087487539,0.3397095243333333,0.6602904756666668,73.0322208404541,1.217203680674235,K router + F schedule
LANCET,M e1,1,0.6987261127630869,0.34654294562666665,0.6534570543733333,73.28537821769714,1.2214229702949524,style-gated router
