method,wins_so_far,cases_completed,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far
AttnSA_e24,0,1,0,0,0
SaMAM_2250,0,1,0,0,0
Seedream_repaired750,1,1,1,1,1
