epoch,loss,swd,repulsive,color,identity,identity_ratio,sched_factor,idt_anchor,topo_align,idt_repel,aent,amax,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,48.33113479614258,12.634509086608887,21.93593406677246,1.1428663730621338,12.617825508117676,0.25,1.0,3.0434248447418213,0.7630550265312195,8.811346054077148,0.9708210825920105,0.012771019712090492,1.3333333333333333e-05,0.5350385990459472,0.004957101074978709,30.69848239934072,5.775828300276771,0.10884419968351722,0.03440650017000735,36.588112000375986,37.8340699672699,10240,270.655523153036,279.87232574052393
2,46.33063888549805,11.615433692932129,21.743417739868164,0.9223814010620117,12.049400329589844,0.25,1.0,2.5507137775421143,0.603359043598175,8.8953275680542,0.9688021540641785,0.013657751493155956,2.6666666666666667e-05,0.47992119938135147,0.004469800507649779,24.188666499918327,1.5444054009858519,0.07686350028961897,0.029406798304989934,25.814405201701447,27.011695384979248,10240,379.0950495352577,396.67774329834543
3,45.10018539428711,10.569469451904297,21.19799041748047,0.7557868361473083,12.576935768127441,0.25,1.0,3.532623291015625,0.691762387752533,8.35254955291748,0.9664417505264282,0.015233066864311695,4e-05,0.4854673999361694,0.004625499481335282,24.234811399830505,1.5659646005369723,0.07738009910099208,0.029596999986097217,25.882781598949805,27.083311080932617,10240,378.0926183434505,395.6298113034145
4,43.3151969909668,9.053611755371094,20.239473342895508,0.5492072105407715,13.472907066345215,0.25,1.0,5.301661491394043,0.9559216499328613,7.215325832366943,0.9658516049385071,0.01680147647857666,5.333333333333333e-05,0.5019841990433633,0.004718199372291565,24.208618299569935,1.576899299863726,0.07993630110286176,0.029479900375008583,25.870172099908814,27.09513831138611,10240,377.9275780886815,395.82264704130415
5,41.928192138671875,8.116860389709473,19.264358520507812,0.47213053703308105,14.074849128723145,0.25,1.0,6.957773685455322,1.1902093887329102,5.926865577697754,0.9662792086601257,0.016717523336410522,6.666666666666667e-05,0.48433710145764053,0.004516600864008069,24.230420500272885,1.5445527993142605,0.07700130087323487,0.03037289925850928,25.85649120132439,27.06338858604431,10240,378.3709481701943,396.0320803108621
6,41.597415924072266,7.921205043792725,18.48324966430664,0.4312373697757721,14.761717796325684,0.25,1.0,8.253541946411133,1.4547890424728394,5.053386211395264,0.9674150347709656,0.01608818955719471,8e-05,0.5007935010362417,0.004944900283589959,24.22023729979992,1.5777672999538481,0.07987419958226383,0.03057190030813217,25.88282369961962,27.095994234085083,10240,377.9156399110358,395.62916777702617
7,41.89492416381836,7.879384517669678,18.344011306762695,0.40920281410217285,15.262323379516602,0.25,1.0,8.928107261657715,1.588640809059143,4.745574474334717,0.9628250002861023,0.018396293744444847,7.947055393155969e-05,0.48717060033231974,0.004535900661721826,24.23394879931584,1.5576156999450177,0.07861179951578379,0.02946570236235857,25.874712199438363,27.07813858985901,10240,378.16484194504295,395.7531941252769
8,41.72338104248047,8.238192558288574,18.121641159057617,0.4270079731941223,14.936541557312012,0.25,1.0,8.747794151306152,1.496254324913025,4.692491054534912,0.960046112537384,0.018646998330950737,7.884828921053212e-05,0.4787253998219967,0.004610599717125297,24.23402479896322,1.5565114002674818,0.07709779916331172,0.029407902155071497,25.872244598111138,27.070135831832886,10240,378.27663900963375,395.79093963681817
9,41.601558685302734,8.172552108764648,18.07587432861328,0.40808042883872986,14.945045471191406,0.25,1.0,8.919089317321777,1.3913350105285645,4.634622097015381,0.9580999612808228,0.02058364450931549,7.813491142126459e-05,0.5018316991627216,0.004690399160608649,24.225022400496528,1.567507498897612,0.08142159949056804,0.031176500720903277,25.878641898045316,27.101382732391357,10240,377.840499915203,395.69309859237455
10,40.794551849365234,7.839522838592529,17.651845932006836,0.3664122521877289,14.936767578125,0.25,1.0,9.19359302520752,1.397381067276001,4.345791816711426,0.9573337435722351,0.019659850746393204,7.733237588269115e-05,0.4799515006598085,0.004576200153678656,24.212559399660677,1.5601064013317227,0.07729069935157895,0.02925749821588397,25.854532700497657,27.053378582000732,10240,378.51094897303955,396.0620800469117
