timestamp,study_name,trial,status,elapsed_sec,score,style_swd,content_ssim,w_style,w_structure,w_moment,w_identity,batch_size,num_epochs,trial_dir,train_log,trial_config,error
2026-02-19 23:02:56,ssim-latent_style_hpo-nce,0,completed,761.921,-1.78481586,1.43930473,0.30431391,99.88962852,143.10000290,149.07884894,602.67189936,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0000,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0000\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0000\config.trial.json,
2026-02-19 23:15:49,ssim-latent_style_hpo-nce,2,completed,196.638,-3.27279303,2.16529282,0.33924998,174.90802377,57.53571532,159.79909127,519.06093894,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0002,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0002\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0002\config.trial.json,
2026-02-19 23:19:06,ssim-latent_style_hpo-nce,3,completed,196.385,-3.69487902,2.70992897,0.35150499,131.20372809,17.79972602,58.71254183,706.32330204,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0003,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0003\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0003\config.trial.json,
2026-02-19 23:22:23,ssim-latent_style_hpo-nce,4,completed,196.997,-3.51057589,2.42291295,0.34123371,220.22300235,45.40362889,53.08767414,778.93689651,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0004,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0004\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0004\config.trial.json,
2026-02-19 23:28:28,ssim-latent_style_hpo-nce,6,completed,197.718,-3.13429052,1.88924216,0.32549516,174.90802377,57.53571532,159.79909127,519.06093894,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0006,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0006\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0006\config.trial.json,
2026-02-19 23:31:47,ssim-latent_style_hpo-nce,7,completed,198.992,-3.87582618,1.97920996,0.26033838,131.20372809,17.79972602,58.71254183,706.32330204,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0007,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0007\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0007\config.trial.json,
2026-02-19 23:35:53,ssim-latent_style_hpo-nce,9,completed,199.876,-3.14288878,1.89759919,0.32547104,174.90802377,57.53571532,159.79909127,519.06093894,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0009,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0009\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0009\config.trial.json,
2026-02-19 23:39:13,ssim-latent_style_hpo-nce,10,completed,200.468,-3.87373730,1.97728322,0.26035459,131.20372809,17.79972602,58.71254183,706.32330204,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0010,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0010\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0010\config.trial.json,
2026-02-19 23:42:33,ssim-latent_style_hpo-nce,11,completed,199.585,-2.19539602,1.89613511,0.42007391,220.22300235,45.40362889,53.08767414,778.93689651,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0011,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0011\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0011\config.trial.json,
2026-02-19 23:45:52,ssim-latent_style_hpo-nce,12,completed,199.245,-2.92403008,1.74177676,0.33177467,266.48852816,20.61695553,77.27374508,228.38315690,50,1,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0012,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0012\train.log,I:\Github\Latent_Style\Cycle-NCE\ssim-optun-nce\trial_0012\config.trial.json,
