idx,name,group,overrides
0,A_abl_attn_mode_softmax_gate_init_0p05,abl,attn_mode=softmax; gate_init=0.05
1,A_abl_attn_mode_softmax_gate_init_0p1,abl,attn_mode=softmax; gate_init=0.1
2,A_abl_attn_mode_softmax_gate_init_0p3,abl,attn_mode=softmax; gate_init=0.3
3,A_abl_attn_mode_softmax_gate_init_0p5,abl,attn_mode=softmax; gate_init=0.5
4,A_abl_attn_mode_gated_gate_init_0p05,abl,attn_mode=gated; gate_init=0.05
5,A_abl_attn_mode_gated_gate_init_0p1,abl,attn_mode=gated; gate_init=0.1
6,A_abl_attn_mode_gated_gate_init_0p3,abl,attn_mode=gated; gate_init=0.3
7,A_abl_attn_mode_gated_gate_init_0p5,abl,attn_mode=gated; gate_init=0.5
8,A_abl_attn_mode_gated_raw_gate_init_0p05,abl,attn_mode=gated_raw; gate_init=0.05
9,A_abl_attn_mode_gated_raw_gate_init_0p1,abl,attn_mode=gated_raw; gate_init=0.1
10,A_abl_attn_mode_gated_raw_gate_init_0p3,abl,attn_mode=gated_raw; gate_init=0.3
11,A_abl_attn_mode_gated_raw_gate_init_0p5,abl,attn_mode=gated_raw; gate_init=0.5
12,A_abl_attn_mode_relu2_gate_init_0p05,abl,attn_mode=relu2; gate_init=0.05
13,A_abl_attn_mode_relu2_gate_init_0p1,abl,attn_mode=relu2; gate_init=0.1
14,A_abl_attn_mode_relu2_gate_init_0p3,abl,attn_mode=relu2; gate_init=0.3
15,A_abl_attn_mode_relu2_gate_init_0p5,abl,attn_mode=relu2; gate_init=0.5
16,A_abl_attn_mode_style_select_gate_init_0p05,abl,attn_mode=style_select; gate_init=0.05
17,A_abl_attn_mode_style_select_gate_init_0p1,abl,attn_mode=style_select; gate_init=0.1
18,A_abl_attn_mode_style_select_gate_init_0p3,abl,attn_mode=style_select; gate_init=0.3
19,A_abl_attn_mode_style_select_gate_init_0p5,abl,attn_mode=style_select; gate_init=0.5
20,A_abl_attn_mode_sparsemax_gate_init_0p05,abl,attn_mode=sparsemax; gate_init=0.05
21,A_abl_attn_mode_sparsemax_gate_init_0p1,abl,attn_mode=sparsemax; gate_init=0.1
22,A_abl_attn_mode_sparsemax_gate_init_0p3,abl,attn_mode=sparsemax; gate_init=0.3
23,A_abl_attn_mode_sparsemax_gate_init_0p5,abl,attn_mode=sparsemax; gate_init=0.5
24,B_abl_ep_mode_velocity_ep_film_T_ep_hd_64,abl,ep_mode=velocity; ep_film=True; ep_hd=64
