patch_size,mean_inter_base_swd,mean_intra_base_swd,mean_inter_hf_swd,mean_intra_hf_swd,mean_base_snr,mean_hf_snr,mean_combined_snr,hf_ratio
1,0.4434608146548271,0.3449220657348633,0.1104781087487936,0.10505802743136883,1.3037354704626007,1.0515753400828611,1.2039042242650033,2.0
3,0.3977142348885536,0.3229783698916435,0.10929477773606777,0.10404102504253387,1.2477969022101751,1.0502244845184445,1.1664876024190356,2.0
5,0.3653612956404686,0.29756220430135727,0.10458866879343987,0.10155414789915085,1.2435260816651268,1.0298528550531028,1.1527975533582366,2.0
