epoch,loss,flow,kinetic_energy,ot_cost,terminal_swd,color,repulsive,plan_entropy,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,8.168312072753906,0.22409607470035553,0.44819214940071106,0.0,3.0030016899108887,4.6171183586120605,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.359375,0.4782264530658722,0.0003,3.130523299856577,80.311333099904,8.901256700133672,0.22629130000132136,89.438881100039,105.28845834732056,10240,97.25662395227381
2,7.505936622619629,0.269440621137619,0.538881242275238,0.0,2.7675721645355225,4.099483966827393,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.38671875,0.39139580726623535,0.00029997397746507875,0.10319009984959848,18.723334399983287,3.486418400076218,0.20110999981989153,22.410862799879396,35.756664752960205,10240,286.38017753465823
3,7.38656759262085,0.2898273169994354,0.5796546339988708,0.0,2.684481143951416,4.022430896759033,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.404296875,0.36909350752830505,0.00029989591989249757,0.10216349991969764,18.742535499943187,3.5015135999419726,0.20159740006783977,22.445646499953,35.800907373428345,10240,286.0262700380659
4,7.311257839202881,0.3057935833930969,0.6115871667861938,0.0,2.630797863006592,3.9688735008239746,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.419921875,0.3602605164051056,0.00029976585737493663,0.10806489965762012,18.738347199803684,3.484884199948283,0.20247809999273159,22.4257094997447,35.797159910202026,10240,286.05621299810565
5,7.27009916305542,0.31252723932266235,0.6250544786453247,0.0,2.59747052192688,3.9475748538970947,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.42578125,0.35613319277763367,0.00029958384005397226,0.11364299996057525,18.735211999999592,3.4743858000438195,0.20568619997357018,22.41528400001698,35.798564434051514,10240,286.04498984489265
6,7.225672245025635,0.3185991942882538,0.6371983885765076,0.0,2.5732240676879883,3.915250778198242,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.443359375,0.3537280261516571,0.0002993499381007466,0.10476039996137843,18.751756199868396,3.4764897999411914,0.20766790010384284,22.43591389991343,35.79299354553223,10240,286.0895104225833
7,7.189677715301514,0.32315364480018616,0.6463072896003723,0.0,2.550889253616333,3.8924810886383057,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.451171875,0.35166865587234497,0.00029906424168891506,0.10192019984242506,18.76257919994532,3.476287700003013,0.19753579987445846,22.436402699822793,35.79574513435364,10240,286.06751896254116
8,7.169624328613281,0.32603514194488525,0.6520702838897705,0.0,2.5383877754211426,3.879166603088379,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.455078125,0.3509252667427063,0.0002987268609598829,0.10489799999049865,18.72769490009523,3.491872200043872,0.19968650006921962,22.41925360020832,35.77421951293945,10240,286.2396479760017
9,7.138252258300781,0.3289048373699188,0.6578096747398376,0.0,2.5238068103790283,3.856635332107544,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.447265625,0.3496883809566498,0.0002983379259803436,0.10483100003330037,18.732798399898456,3.482528299849946,0.20466029993258417,22.419986999680987,35.78450417518616,10240,286.1573811353984
10,7.115360736846924,0.3311464488506317,0.6622928977012634,0.0,2.511488437652588,3.841578722000122,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.45703125,0.3497539758682251,0.00029789758669213534,0.10172619976219721,18.729683600075077,3.5123044999781996,0.2032930999994278,22.445281200052705,35.77119469642639,10240,286.26385243495923
11,7.092967987060547,0.3329307734966278,0.6658615469932556,0.0,2.496051788330078,3.831054210662842,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.45703125,0.34884577989578247,0.0002974060128544361,0.10819290005019866,18.7332484999788,3.519816100015305,0.2021738000039477,22.455238399998052,35.79050803184509,10240,286.10937824321525
12,7.070163726806641,0.33644717931747437,0.6728943586349487,0.0,2.4840950965881348,3.813176393508911,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.46484375,0.34818127751350403,0.0002968633939783178,0.10342660016613081,18.752800399961416,3.474287799850572,0.20583580012316816,22.432923999935156,35.80300855636597,10240,286.0094839202912
13,7.0617828369140625,0.33700430393218994,0.6740086078643799,0.0,2.47804856300354,3.8097283840179443,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.45703125,0.34876394271850586,0.0002962699392536863,0.10239960023318417,18.744797499937704,3.457181099918671,0.20396800004527904,22.405946599901654,35.78036665916443,10240,286.19047137062324
14,7.043261528015137,0.3394836485385895,0.678967297077179,0.0,2.4673101902008057,3.7969844341278076,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.458984375,0.34846389293670654,0.00029562587746863507,0.1020564999198541,18.75839089998044,3.480905800155597,0.20177559994044714,22.441072300076485,35.81051540374756,10240,285.9495286384062
15,7.018863677978516,0.34008553624153137,0.6801710724830627,0.0,2.4530441761016846,3.7856481075286865,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.46484375,0.3481382727622986,0.0002949314569212424,0.10129930009134114,18.75457400016603,3.4648262001283,0.2040028998744674,22.423403100168798,35.81257772445679,10240,285.9330618082539
16,7.011746406555176,0.3416368365287781,0.6832736730575562,0.0,2.4503958225250244,3.778076171875,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.462890625,0.3483777344226837,0.0002941869453238482,0.10043019996373914,18.76388609991409,3.5297053000540473,0.20279950002441183,22.496390899992548,35.80987739562988,10240,285.95462326965844
17,6.989915370941162,0.34186655282974243,0.6837331056594849,0.0,2.4392805099487305,3.7669005393981934,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.46484375,0.3484719693660736,0.0002933926296998458,0.10788650019094348,18.751296099973843,3.5087611000053585,0.20133279997389764,22.4613899999531,35.804614782333374,10240,285.9966532876258
18,6.980410099029541,0.3427733778953552,0.6855467557907104,0.0,2.429553270339966,3.7653117179870605,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.46484375,0.34837770462036133,0.0002925488162730286,0.11137619975488633,18.78504860008252,3.4872352999809664,0.20232169987866655,22.47460559994215,35.81983971595764,10240,285.8750927195832
19,6.962691307067871,0.34431222081184387,0.6886244416236877,0.0,2.4237353801727295,3.7503318786621094,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.466796875,0.3479902148246765,0.0002916558303495354,0.10245580019545741,18.735957800003234,3.4631212000676896,0.200698500033468,22.399777500104392,35.77038502693176,10240,286.27033207191465
20,6.942022800445557,0.3453257977962494,0.6906515955924988,0.0,2.4144976139068604,3.736872673034668,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.46875,0.34845125675201416,0.0002907140161924385,0.0987624999252148,18.71504800004186,3.472278900037054,0.20174769998993725,22.389074600068852,35.75092625617981,10240,286.42614534301583
21,6.93009614944458,0.3461863696575165,0.692372739315033,0.0,2.4129691123962402,3.7247536182403564,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.470703125,0.34831300377845764,0.00028972373688902374,0.10087369999382645,18.75226759997895,3.482766299886862,0.19931520021054894,22.43434910007636,35.79193735122681,10240,286.09795271808645
22,6.912440776824951,0.3488137722015381,0.6976275444030762,0.0,2.412630081176758,3.702183723449707,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.4765625,0.3486393988132477,0.0002886853742108134,0.10393809992820024,18.719362100062426,3.4730959000298753,0.20329520001541823,22.39575320010772,35.76570439338684,10240,286.3077960766627
23,6.8938727378845215,0.35081490874290466,0.7016298174858093,0.0,2.407226324081421,3.68501615524292,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.470703125,0.34796175360679626,0.000287599328466386,0.09910310010309331,18.749524499871768,3.5159652000584174,0.20305249991361052,22.468542199843796,35.79024076461792,10240,286.11151479380993
